Date,Copper,Open,High,Low,Vol.,Change %
2022/02/24,4.5125,4.466,4.585,4.4552,-,1.04%
2022/02/23,4.466,4.5145,4.5448,4.45,-,-1.07%
2022/02/22,4.5145,4.4813,4.5358,4.4745,-,0.76%
2022/02/21,4.4805,4.5205,4.544,4.4675,-,-0.88%
2022/02/20,4.5205,4.5165,4.5217,4.506,-,0.11%
2022/02/18,4.5155,4.5038,4.572,4.4992,-,0.26%
2022/02/17,4.5038,4.54,4.5488,4.466,-,-0.80%
2022/02/16,4.54,4.53,4.589,4.5185,-,0.23%
2022/02/15,4.5295,4.5015,4.551,4.4725,-,0.61%
2022/02/14,4.502,4.4727,4.5183,4.4465,-,0.66%
2022/02/13,4.4727,4.4398,4.473,4.4378,-,0.77%
2022/02/11,4.4385,4.6245,4.6285,4.4315,-,-4.01%
2022/02/10,4.624,4.626,4.7077,4.5853,-,-0.05%
2022/02/09,4.6262,4.4683,4.642,4.4188,-,3.56%
2022/02/08,4.4672,4.4793,4.481,4.397,-,-0.25%
2022/02/07,4.4785,4.5085,4.5095,4.4292,-,-0.66%
2022/02/06,4.5083,4.501,4.519,4.4967,-,0.05%
2022/02/04,4.5062,4.4825,4.5145,4.4145,-,0.53%
2022/02/03,4.4825,4.4665,4.5017,4.425,-,0.35%
2022/02/02,4.467,4.4363,4.5085,4.4305,-,0.69%
2022/02/01,4.4363,4.3345,4.4447,4.311,-,2.34%
2022/01/31,4.335,4.3295,4.3545,4.2823,-,0.10%
2022/01/30,4.3305,4.3295,4.3305,4.3187,-,0.02%
2022/01/28,4.3297,4.4195,4.4497,4.2985,-,-2.03%
2022/01/27,4.4195,4.4675,4.4902,4.3998,-,-1.07%
2022/01/26,4.4675,4.4665,4.534,4.421,-,0.02%
2022/01/25,4.4665,4.4612,4.4775,4.3905,-,0.11%
2022/01/24,4.4615,4.536,4.538,4.387,-,-1.65%
2022/01/23,4.5365,4.5135,4.5367,4.511,-,0.35%
2022/01/21,4.5205,4.525,4.5793,4.4837,-,-0.10%
