Date,DJIA,Open,High,Low,Vol.,Change %
2022/02/23,33132.25,33680.97,33832.59,33087.83,359.43M,-1.38%
2022/02/22,33597.13,33870.47,34024.26,33365.72,413.42M,-1.41%
2022/02/18,34079.12,34248.32,34422.82,33977.43,392.74M,-0.68%
2022/02/17,34311.18,34858.47,34858.47,34246.23,333.12M,-1.79%
2022/02/16,34935.59,34951.83,35034.18,34643.39,279.29M,-0.15%
2022/02/15,34988.31,34686.19,35047.41,34686.19,293.18M,1.22%
2022/02/14,34565.78,34679.11,34739.00,34306.53,351.11M,-0.49%
2022/02/11,34737.47,35267.89,35431.15,34621.55,381.22M,-1.43%
2022/02/10,35241.69,35630.81,35800.24,35102.04,391.97M,-1.47%
2022/02/09,35768.06,35614.90,35824.28,35614.90,339.61M,0.86%
2022/02/08,35462.78,35160.68,35544.89,35090.42,333.94M,1.06%
2022/02/07,35091.13,35108.38,35325.01,34993.98,328.91M,0.00%
2022/02/04,35089.74,35095.74,35333.55,34799.08,349.88M,-0.06%
2022/02/03,35111.16,35520.08,35535.94,35071.06,390.18M,-1.45%
2022/02/02,35629.33,35378.19,35679.20,35290.12,364.06M,0.63%
2022/02/01,35405.24,35151.47,35441.09,34977.95,394.90M,0.78%
2022/01/31,35131.86,34691.17,35148.14,34496.10,474.44M,1.17%
2022/01/28,34725.47,34135.24,34731.77,33807.51,568.44M,1.65%
2022/01/27,34160.78,34261.75,34773.32,34007.78,527.78M,-0.02%
2022/01/26,34168.09,34520.82,34815.67,33876.48,549.31M,-0.38%
2022/01/25,34297.73,34186.64,34591.04,33545.52,522.19M,-0.19%
2022/01/24,34364.50,34070.61,34420.99,33150.33,678.12M,0.29%
2022/01/21,34265.37,34701.69,34896.67,34229.55,523.88M,-1.30%
2022/01/20,34715.39,35102.66,35490.20,34670.12,369.07M,-0.89%
2022/01/19,35028.65,35412.30,35547.83,35015.49,393.08M,-0.96%
2022/01/18,35368.47,35661.76,35661.76,35262.02,427.26M,-1.51%
2022/01/14,35911.81,35996.43,35996.43,35641.49,396.47M,-0.56%
2022/01/13,36113.62,36312.49,36513.88,36044.22,349.74M,-0.49%
