Date,US2Y,Open,High,Low,Change %
2022/02/24,1.4801,1.5777,1.5837,1.4642,-7.82%
2022/02/23,1.6056,1.643,1.643,1.568,2.82%
2022/02/22,1.5615,1.436,1.566,1.429,8.70%
2022/02/21,1.4365,1.4324,1.4365,1.4324,-2.25%
2022/02/18,1.4696,1.454,1.507,1.438,-0.05%
2022/02/17,1.4703,1.51,1.526,1.465,-3.71%
2022/02/16,1.527,1.573,1.597,1.496,-3.20%
2022/02/15,1.5774,1.579,1.612,1.553,0.46%
2022/02/14,1.5702,1.52,1.62,1.503,5.56%
2022/02/11,1.4875,1.581,1.631,1.467,-7.56%
2022/02/10,1.6092,1.364,1.64,1.339,17.77%
2022/02/09,1.3664,1.344,1.372,1.316,1.55%
2022/02/08,1.3455,1.298,1.347,1.298,3.95%
2022/02/07,1.2944,1.322,1.33,1.288,-2.09%
2022/02/06,1.322,1.328,1.328,1.322,0.46%
2022/02/04,1.316,1.206,1.328,1.203,9.49%
2022/02/03,1.2019,1.135,1.214,1.132,4.56%
2022/02/02,1.1495,1.167,1.178,1.138,-1.68%
2022/02/01,1.1691,1.185,1.211,1.137,-1.31%
2022/01/31,1.1846,1.198,1.217,1.159,-1.29%
2022/01/30,1.2001,1.1961,1.2001,1.1961,2.37%
2022/01/28,1.1723,1.19,1.228,1.158,-1.34%
2022/01/27,1.1882,1.164,1.208,1.156,2.75%
2022/01/26,1.1564,1.027,1.164,1.012,12.57%
2022/01/25,1.0273,1.01,1.039,0.986,5.80%
2022/01/24,0.971,1.024,1.04,0.938,-5.36%
2022/01/23,1.026,1.026,1.026,1.026,1.00%
2022/01/21,1.0158,1.023,1.036,0.989,-1.08%
2022/01/20,1.0269,1.063,1.07,1.023,-2.29%
2022/01/19,1.051,1.046,1.076,1.002,0.43%
2022/01/18,1.0465,1.003,1.058,1.002,4.30%
2022/01/17,1.0034,1.0075,1.0075,1.0034,3.56%
2022/01/14,0.9689,0.911,0.973,0.904,8.27%
2022/01/13,0.8949,0.921,0.929,0.889,-3.03%
2022/01/12,0.9229,0.891,0.925,0.881,3.87%
2022/01/11,0.8885,0.904,0.945,0.885,-1.10%
2022/01/10,0.8984,0.872,0.91,0.864,3.25%
2022/01/09,0.8701,0.8701,0.8701,0.8701,0.00%
2022/01/07,0.8701,0.866,0.908,0.86,-0.40%
2022/01/06,0.8736,0.826,0.886,0.82,5.30%
2022/01/05,0.8296,0.764,0.834,0.756,9.17%
2022/01/04,0.7599,0.77,0.8,0.752,-2.05%
2022/01/03,0.7758,0.766,0.804,0.758,5.68%
2022/01/02,0.7341,0.7341,0.7341,0.7341,0.00%
2021/12/31,0.7341,0.73,0.744,0.72,0.52%
2021/12/30,0.7303,0.752,0.754,0.726,-2.89%
2021/12/29,0.752,0.748,0.764,0.736,-0.52%
2021/12/28,0.7559,0.758,0.758,0.74,7.25%
2021/12/27,0.7048,0.69,0.721,0.69,2.12%
2021/12/26,0.6902,0.6902,0.6902,0.6902,-0.17%
2021/12/23,0.6914,0.669,0.693,0.663,4.02%
2021/12/22,0.6647,0.654,0.683,0.654,-0.57%
2021/12/21,0.6685,0.632,0.679,0.624,5.14%
2021/12/20,0.6358,0.623,0.638,0.587,1.99%
2021/12/19,0.6234,0.6255,0.6255,0.6234,-2.53%
2021/12/17,0.6396,0.629,0.66,0.603,3.68%
2021/12/16,0.6169,0.675,0.685,0.615,-7.25%
2021/12/15,0.6651,0.659,0.722,0.649,1.26%
2021/12/14,0.6568,0.645,0.667,0.639,3.86%
2021/12/13,0.6324,0.666,0.677,0.632,-5.10%
2021/12/12,0.6664,0.6584,0.6664,0.6584,1.83%
2021/12/10,0.6544,0.698,0.731,0.636,-5.39%
2021/12/09,0.6917,0.683,0.697,0.67,0.90%
2021/12/08,0.6855,0.689,0.714,0.668,-1.11%
2021/12/07,0.6932,0.627,0.695,0.625,9.82%
2021/12/06,0.6312,0.613,0.637,0.603,2.95%
2021/12/05,0.6131,0.6111,0.6131,0.6111,3.35%
2021/12/03,0.5932,0.607,0.655,0.585,-3.48%
2021/12/02,0.6146,0.567,0.63,0.565,11.48%
2021/12/01,0.5513,0.599,0.622,0.547,-2.77%
2021/11/30,0.567,0.504,0.573,0.441,14.29%
2021/11/29,0.4961,0.537,0.559,0.486,-8.01%
2021/11/28,0.5393,0.5531,0.5531,0.5393,6.20%
2021/11/26,0.5078,0.618,0.62,0.488,-17.85%
2021/11/25,0.6181,0.622,0.626,0.6181,-3.98%
2021/11/24,0.6437,0.612,0.656,0.587,4.80%
2021/11/23,0.6142,0.632,0.687,0.606,3.68%
2021/11/22,0.5924,0.525,0.594,0.519,12.41%
2021/11/21,0.527,0.5291,0.5291,0.527,2.77%
2021/11/19,0.5128,0.504,0.517,0.446,2.13%
2021/11/18,0.5021,0.504,0.512,0.49,0.84%
2021/11/17,0.4979,0.528,0.532,0.496,-4.62%
2021/11/16,0.522,0.522,0.542,0.506,0.44%
2021/11/15,0.5197,0.524,0.542,0.501,-0.73%
2021/11/14,0.5235,0.5235,0.5235,0.5235,1.16%
2021/11/12,0.5175,0.541,0.546,0.503,-4.33%
2021/11/11,0.5409,0.5449,0.5449,0.5409,4.24%
2021/11/10,0.5189,0.425,0.523,0.425,22.76%
2021/11/09,0.4227,0.445,0.449,0.407,-5.35%
2021/11/08,0.4466,0.405,0.452,0.405,9.78%
2021/11/07,0.4068,0.4068,0.4068,0.4068,0.49%
2021/11/05,0.4048,0.434,0.458,0.389,-5.07%
2021/11/04,0.4264,0.468,0.478,0.391,-10.36%
2021/11/03,0.4757,0.456,0.513,0.444,6.18%
2021/11/02,0.448,0.509,0.513,0.444,-10.60%
2021/11/01,0.5011,0.525,0.527,0.497,-4.84%
2021/10/31,0.5266,0.5167,0.5266,0.5167,5.11%
2021/10/29,0.501,0.469,0.554,0.468,2.43%
2021/10/28,0.4891,0.503,0.564,0.469,-2.74%
2021/10/27,0.5029,0.479,0.529,0.471,12.30%
2021/10/26,0.4478,0.439,0.46,0.436,2.87%
2021/10/25,0.4353,0.46,0.464,0.425,-5.27%
2021/10/24,0.4595,0.4595,0.4595,0.4595,0.00%
