Date,US3M,Open,High,Low,Change %
2022/02/24,0.3196,0.3882,0.3983,0.3196,-9.97%
2022/02/23,0.355,0.386,0.411,0.355,0.00%
2022/02/22,0.355,0.36,0.37,0.345,2.90%
2022/02/21,0.345,0.3602,0.3602,0.345,-3.63%
2022/02/18,0.358,0.37,0.411,0.345,-1.92%
2022/02/17,0.365,0.421,0.439,0.36,-4.70%
2022/02/16,0.383,0.439,0.439,0.381,-7.93%
2022/02/15,0.416,0.457,0.467,0.414,6.39%
2022/02/14,0.391,0.373,0.439,0.373,4.83%
2022/02/11,0.373,0.449,0.469,0.353,-8.80%
2022/02/10,0.409,0.284,0.434,0.282,46.59%
2022/02/09,0.279,0.292,0.292,0.279,-1.76%
2022/02/08,0.284,0.292,0.292,0.276,27.35%
2022/02/07,0.223,0.238,0.254,0.218,-5.47%
2022/02/06,0.2359,0.2359,0.2359,0.2359,-0.88%
2022/02/04,0.238,0.208,0.246,0.208,16.10%
2022/02/03,0.205,0.208,0.216,0.198,6.22%
2022/02/02,0.193,0.208,0.213,0.19,-10.65%
2022/02/01,0.216,0.246,0.251,0.208,16.76%
2022/01/31,0.185,0.2,0.211,0.183,-6.47%
2022/01/30,0.1978,0.1953,0.1978,0.1953,4.11%
2022/01/28,0.19,0.218,0.223,0.188,-7.32%
2022/01/27,0.205,0.236,0.236,0.195,2.50%
2022/01/26,0.2,0.205,0.213,0.185,3.63%
2022/01/25,0.193,0.205,0.205,0.193,13.53%
2022/01/24,0.17,0.175,0.205,0.167,-4.23%
2022/01/23,0.1775,0.1724,0.1775,0.1724,4.41%
2022/01/21,0.17,0.183,0.211,0.167,-5.56%
2022/01/20,0.18,0.172,0.203,0.17,4.65%
2022/01/19,0.172,0.193,0.193,0.172,21.13%
2022/01/18,0.142,0.142,0.17,0.132,1.79%
2022/01/17,0.1395,0.1395,0.1395,0.1395,8.14%
2022/01/14,0.129,0.129,0.15,0.122,5.74%
2022/01/13,0.122,0.132,0.14,0.117,0.00%
2022/01/12,0.122,0.14,0.14,0.122,-3.94%
2022/01/11,0.127,0.122,0.134,0.119,28.28%
2022/01/10,0.099,0.109,0.112,0.096,2.80%
2022/01/09,0.0963,0.0963,0.0963,0.0963,0.31%
2022/01/07,0.096,0.099,0.122,0.094,-4.95%
2022/01/06,0.101,0.094,0.117,0.091,10.99%
2022/01/05,0.091,0.089,0.101,0.086,5.81%
2022/01/04,0.086,0.091,0.675,0.086,36.51%
2022/01/03,0.063,0.056,0.076,0.048,12.90%
2022/01/02,0.0558,0.0558,0.0558,0.0558,5.28%
2021/12/31,0.053,0.051,0.068,0.051,15.22%
2021/12/30,0.046,0.061,0.089,0.043,-9.80%
2021/12/29,0.051,0.091,0.091,0.046,-16.39%
2021/12/28,0.061,0.091,0.091,0.061,8.93%
2021/12/27,0.056,0.084,0.084,0.053,-26.41%
2021/12/26,0.0761,0.0761,0.0761,0.0761,7.18%
2021/12/23,0.071,0.076,0.091,0.068,0.00%
2021/12/22,0.071,0.089,0.089,0.066,0.00%
2021/12/21,0.071,0.091,0.091,0.071,-6.58%
2021/12/20,0.076,0.056,0.066,0.043,49.90%
2021/12/19,0.0507,0.0507,0.0507,0.0507,-0.59%
2021/12/17,0.051,0.056,0.081,0.046,10.87%
2021/12/16,0.046,0.056,0.066,0.043,-9.80%
2021/12/15,0.051,0.061,0.066,0.048,-12.07%
2021/12/14,0.058,0.066,0.066,0.056,3.57%
