Date,US_CPI
1989/05/31,5.361702
1989/06/30,5.169491
1989/07/31,4.978903
1989/08/31,4.705883
1989/09/30,4.340568
1989/10/31,4.492513
1989/11/30,4.655029
1989/12/31,4.647303
1990/01/31,5.202312
1990/02/28,5.263158
1990/03/31,5.233034
1990/04/30,4.711617
1990/05/31,4.361874
1990/06/30,4.67365
1990/07/31,4.823151
1990/08/31,5.617978
1990/09/30,6.16
1990/10/31,6.289809
1990/11/30,6.274821
1990/12/31,6.106265
1991/01/31,5.651491
1991/02/28,5.3125
1991/03/31,4.895105
1991/04/30,4.88751
1991/05/31,4.95356
1991/06/30,4.69592
1991/07/31,4.447853
1991/08/31,3.799392
1991/09/30,3.391108
1991/10/31,2.921348
1991/11/30,2.989537
1991/12/31,3.064275
1992/01/31,2.600297
1992/02/29,2.818991
1992/03/31,3.185185
1992/04/30,3.180473
1992/05/31,3.023599
1992/06/30,3.088235
1992/07/31,3.157122
1992/08/31,3.147877
1992/09/30,2.988338
1992/10/31,3.202329
1992/11/30,3.047895
1992/12/31,2.900653
1993/01/31,3.258508
1993/02/28,3.246753
1993/03/31,3.086863
1993/04/30,3.225806
1993/05/31,3.221188
1993/06/30,2.99572
1993/07/31,2.775801
1993/08/31,2.76792
1993/09/30,2.689313
1993/10/31,2.750353
1993/11/30,2.676056
1993/12/31,2.748414
1994/01/31,2.524544
1994/02/28,2.515723
1994/03/31,2.506964
1994/04/30,2.361111
1994/05/31,2.288488
1994/06/30,2.493075
1994/07/31,2.770083
1994/08/31,2.900553
1994/09/30,2.963474
1994/10/31,2.608099
1994/11/30,2.674897
1994/12/31,2.674897
1995/01/31,2.804378
1995/02/28,2.862986
1995/03/31,2.853261
1995/04/30,3.052917
1995/05/31,3.186441
1995/06/30,3.04054
1995/07/31,2.762803
1995/08/31,2.61745
1995/09/30,2.543507
1995/10/31,2.809365
1995/11/30,2.60521
1995/12/31,2.53841
1996/01/31,2.727878
1996/02/29,2.650762
1996/03/31,2.840158
1996/04/30,2.896642
1996/05/31,2.890933
1996/06/30,2.754098
1996/07/31,2.95082
1996/08/31,2.877698
1996/09/30,3.002611
1996/10/31,2.992843
1996/11/30,3.255208
1996/12/31,3.322476
1997/01/31,3.044041
1997/02/28,3.034216
1997/03/31,2.761721
1997/04/30,2.495202
1997/05/31,2.234994
1997/06/30,2.297384
1997/07/31,2.229299
1997/08/31,2.225048
1997/09/30,2.154626
1997/10/31,2.084649
1997/11/30,1.828499
1997/12/31,1.702396
1998/01/31,1.571339
1998/02/28,1.441103
1998/03/31,1.375
1998/04/30,1.435705
1998/05/31,1.686446
1998/06/30,1.684342
1998/07/31,1.682243
1998/08/31,1.616915
1998/09/30,1.488834
1998/10/31,1.485149
1998/11/30,1.547988
1998/12/31,1.611903
1999/01/31,1.670792
1999/02/28,1.60593
1999/03/31,1.726264
1999/04/30,2.276923
1999/05/31,2.088452
1999/06/30,1.96319
1999/07/31,2.144608
1999/08/31,2.264382
1999/09/30,2.628362
1999/10/31,2.560976
1999/11/30,2.621951
1999/12/31,2.684564
2000/01/31,2.738892
2000/02/29,3.221884
2000/03/31,3.757576
2000/04/30,3.068592
2000/05/31,3.188929
2000/06/30,3.730445
2000/07/31,3.659268
2000/08/31,3.411131
2000/09/30,3.454437
2000/10/31,3.448276
2000/11/30,3.446227
2000/12/31,3.386809
2001/01/31,3.732228
2001/02/28,3.533569
2001/03/31,2.920561
2001/04/30,3.269119
2001/05/31,3.61516
2001/06/30,3.24826
2001/07/31,2.719908
2001/08/31,2.719908
2001/09/30,2.648244
2001/10/31,2.126437
2001/11/30,1.895462
2001/12/31,1.551724
2002/01/31,1.142204
2002/02/28,1.137656
2002/03/31,1.475596
2002/04/30,1.639344
2002/05/31,1.181767
2002/06/30,1.067416
2002/07/31,1.464789
2002/08/31,1.802817
2002/09/30,1.514302
2002/10/31,2.025886
2002/11/30,2.198422
2002/12/31,2.37691
2003/01/31,2.597403
2003/02/28,2.980877
2003/03/31,3.020134
2003/04/30,2.224694
2003/05/31,2.057842
2003/06/30,2.112285
2003/07/31,2.109939
2003/08/31,2.158273
2003/09/30,2.320442
2003/10/31,2.040816
2003/11/30,1.76503
2003/12/31,1.879491
2004/01/31,1.926252
2004/02/29,1.693064
2004/03/31,1.737242
2004/04/30,2.285093
2004/05/31,3.051771
2004/06/30,3.266195
2004/07/31,2.990756
2004/08/31,2.654388
2004/09/30,2.537797
2004/10/31,3.189189
2004/11/30,3.523035
2004/12/31,3.255562
2005/01/31,2.969762
2005/02/28,3.007519
2005/03/31,3.148346
2005/04/30,3.510638
2005/05/31,2.80275
2005/06/30,2.530311
2005/07/31,3.167899
2005/08/31,3.641161
2005/09/30,4.686677
2005/10/31,4.347826
2005/11/30,3.455497
2005/12/31,3.415659
2006/01/31,3.985317
2006/02/28,3.597497
2006/03/31,3.362649
2006/04/30,3.545735
2006/05/31,4.166667
2006/06/30,4.318766
2006/07/31,4.145343
2006/08/31,3.818737
2006/09/30,2.062374
2006/10/31,1.305221
2006/11/30,1.973684
2006/12/31,2.54065
2007/01/31,2.075643
2007/02/28,2.415199
2007/03/31,2.778779
2007/04/30,2.573697
2007/05/31,2.690864
2007/06/30,2.687038
2007/07/31,2.358231
2007/08/31,1.970083
2007/09/30,2.755052
2007/10/31,3.536175
2007/11/30,4.306203
2007/12/31,4.081269
2008/01/31,4.280294
2008/02/29,4.026556
2008/03/31,3.981456
2008/04/30,3.93689
2008/05/31,4.175543
2008/06/30,5.02179
2008/07/31,5.600123
2008/08/31,5.371855
2008/09/30,4.936927
2008/10/31,3.655186
2008/11/30,1.069575
2008/12/31,0.0914129
2009/01/31,0.0298465
2009/02/28,0.2361911
2009/03/31,-0.383556
2009/04/30,-0.736885
2009/05/31,-1.281436
2009/06/30,-1.426776
2009/07/31,-2.097161
2009/08/31,-1.484349
2009/09/30,-1.286206
2009/10/31,-0.182848
2009/11/30,1.838296
2009/12/31,2.721331
2010/01/31,2.625709
2010/02/28,2.143332
2010/03/31,2.313959
2010/04/30,2.236447
2010/05/31,2.020986
2010/06/30,1.053349
2010/07/31,1.235193
2010/08/31,1.148105
2010/09/30,1.143683
2010/10/31,1.172188
2010/11/30,1.143161
2010/12/31,1.495723
2011/01/31,1.631847
2011/02/28,2.107585
2011/03/31,2.681603
2011/04/30,3.163631
2011/05/31,3.568646
2011/06/30,3.558828
2011/07/31,3.628716
2011/08/31,3.771208
2011/09/30,3.868357
2011/10/31,3.5252
2011/11/30,3.394378
2011/12/31,2.962419
2012/01/31,2.925217
2012/02/29,2.871099
2012/03/31,2.651398
2012/04/30,2.30274
2012/05/31,1.704254
2012/06/30,1.663994
2012/07/31,1.408451
2012/08/31,1.692379
2012/09/30,1.991282
2012/10/31,2.162344
2012/11/30,1.764134
2012/12/31,1.741022
2013/01/31,1.594865
2013/02/28,1.977924
2013/03/31,1.473896
2013/04/30,1.063085
2013/05/31,1.361965
2013/06/30,1.754417
2013/07/31,1.960682
2013/08/31,1.518368
2013/09/30,1.184925
2013/10/31,0.9636127
2013/11/30,1.237072
2013/12/31,1.501736
2014/01/31,1.578947
2014/02/28,1.126349
2014/03/31,1.512203
2014/04/30,1.952858
2014/05/31,2.127111
2014/06/30,2.072341
2014/07/31,1.992329
2014/08/31,1.699611
2014/09/30,1.657919
2014/10/31,1.66434
2014/11/30,1.322355
2014/12/31,0.7564933
2015/01/31,-0.089348
2015/02/28,-0.025129
2015/03/31,-0.073637
2015/04/30,-0.199517
2015/05/31,-0.039932
2015/06/30,0.1237712
2015/07/31,0.1695698
2015/08/31,0.1950793
2015/09/30,-0.036129
2015/10/31,0.1705744
2015/11/30,0.5017976
2015/12/31,0.7295198
2016/01/31,1.373087
2016/02/29,1.0178
2016/03/31,0.8525362
2016/04/30,1.12511
2016/05/31,1.019323
2016/06/30,0.9973265
2016/07/31,0.8271388
2016/08/31,1.062875
2016/09/30,1.463784
2016/10/31,1.635988
2016/11/30,1.692537
2016/12/31,2.074622
2017/01/31,2.500042
2017/02/28,2.737958
2017/03/31,2.380612
2017/04/30,2.19969
2017/05/31,1.874878
2017/06/30,1.633488
2017/07/31,1.727978
2017/08/31,1.938974
2017/09/30,2.232964
2017/10/31,2.041129
2017/11/30,2.202583
2017/12/31,2.109082
2018/01/31,2.070508
2018/02/28,2.211795
2018/03/31,2.359711
2018/04/30,2.462744
2018/05/31,2.801012
2018/06/30,2.871548
2018/07/31,2.949515
2018/08/31,2.69918
2018/09/30,2.276972
2018/10/31,2.52247
2018/11/30,2.176601
2018/12/31,1.910159
2019/01/31,1.551235
2019/02/28,1.520135
2019/03/31,1.862523
2019/04/30,1.99644
2019/05/31,1.790228
2019/06/30,1.648485
2019/07/31,1.811465
2019/08/31,1.74978
2019/09/30,1.711305
2019/10/31,1.764043
2019/11/30,2.051278
2019/12/31,2.28513
2020/01/31,2.486572
2020/02/29,2.334874
2020/03/31,1.539327
2020/04/30,0.3290967
2020/05/31,0.1179264
2020/06/30,0.6457331
2020/07/31,0.9860818
2020/08/31,1.309645
2020/09/30,1.371325
2020/10/31,1.182066
2020/11/30,1.174536
2020/12/31,1.362005
2021/01/31,1.39977
2021/02/28,1.676215
2021/03/31,2.619762
2021/04/30,4.159695
2021/05/31,4.992707
2021/06/30,5.391451
2021/07/31,5.365475
2021/08/31,5.251272
2021/09/30,5.390349
2021/10/31,6.221869
2021/11/30,6.809003
2021/12/31,7.036403
2022/01/31,7.479873
