Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,63.21,64.50,64.56,63.09,11.36M,-0.77%
2022/02/22,63.70,63.79,64.28,63.21,8.22M,-1.56%
2022/02/18,64.71,65.09,65.24,64.50,6.94M,-0.58%
2022/02/17,65.09,65.66,65.72,65.03,7.02M,-1.75%
2022/02/16,66.25,65.71,66.40,65.69,6.42M,0.33%
2022/02/15,66.03,65.55,66.03,65.47,6.86M,2.31%
2022/02/14,64.54,64.68,64.83,64.06,12.15M,-0.98%
2022/02/11,65.18,66.37,66.62,64.97,13.58M,-1.87%
2022/02/10,66.42,66.33,67.38,66.29,9.55M,-1.28%
2022/02/09,67.28,67.15,67.29,67.01,8.54M,1.69%
2022/02/08,66.16,65.76,66.22,65.55,4.98M,0.35%
2022/02/07,65.93,65.81,66.23,65.77,5.32M,0.06%
2022/02/04,65.89,65.61,66.21,65.42,8.31M,-0.26%
2022/02/03,66.06,66.40,66.59,65.96,6.75M,-1.39%
2022/02/02,66.99,67.05,67.07,66.64,6.71M,0.59%
2022/02/01,66.60,66.38,66.60,65.90,6.20M,1.22%
2022/01/31,65.80,64.80,65.85,64.79,9.53M,1.57%
2022/01/28,64.78,64.23,64.83,63.85,9.95M,0.29%
2022/01/27,64.59,65.01,65.34,64.37,11.44M,-0.15%
2022/01/26,64.69,65.60,65.80,64.28,14.03M,0.23%
2022/01/25,64.54,64.20,65.00,63.67,19.47M,-0.71%
2022/01/24,65.00,64.32,65.06,63.15,14.68M,-1.54%
2022/01/21,66.02,66.65,66.72,66.00,14.30M,-1.46%
2022/01/20,67.00,67.68,67.98,66.97,9.38M,-0.74%
2022/01/19,67.50,67.87,68.04,67.44,6.69M,0.28%
2022/01/18,67.31,67.57,67.74,67.16,8.38M,-1.44%
2022/01/14,68.29,68.20,68.53,67.90,6.83M,-0.28%
2022/01/13,68.48,69.23,69.26,68.42,9.38M,-0.74%
2022/01/12,68.99,68.71,69.01,68.65,8.69M,0.92%
2022/01/11,68.36,67.67,68.36,67.48,5.61M,1.24%
2022/01/10,67.52,67.38,67.58,66.96,8.80M,-1.36%
2022/01/07,68.45,68.13,68.55,67.96,4.59M,0.50%
2022/01/06,68.11,68.22,68.47,67.94,8.12M,-0.37%
2022/01/05,68.36,69.25,69.38,68.36,7.18M,-0.90%
2022/01/04,68.98,69.11,69.25,68.79,4.54M,0.13%
2022/01/03,68.89,68.77,68.89,68.48,6.59M,0.95%
2021/12/31,68.24,68.35,68.58,68.17,4.82M,0.00%
2021/12/30,68.24,68.46,68.60,68.21,3.89M,-0.39%
2021/12/29,68.51,68.39,68.58,68.28,4.77M,0.16%
2021/12/28,68.40,68.43,68.60,68.35,5.83M,0.04%
2021/12/27,68.37,67.81,68.37,67.62,4.48M,1.09%
2021/12/23,67.63,67.29,67.75,67.21,5.60M,0.68%
2021/12/22,67.17,66.41,67.19,66.35,4.22M,1.24%
2021/12/21,66.35,65.85,66.35,65.79,5.40M,1.28%
2021/12/20,65.51,65.16,65.51,65.04,9.40M,-0.92%
2021/12/17,66.12,66.58,66.76,66.12,7.59M,-1.46%
2021/12/16,67.10,67.39,67.47,66.82,8.82M,0.12%
2021/12/15,67.02,66.26,67.02,65.97,7.28M,1.33%
2021/12/14,66.14,66.31,66.56,65.85,12.78M,-0.63%
2021/12/13,66.56,67.08,67.12,66.51,5.78M,-1.06%
2021/12/10,67.27,67.19,67.33,67.00,3.70M,0.24%
2021/12/09,67.11,67.36,67.38,67.04,9.68M,-0.93%
2021/12/08,67.74,67.75,67.82,67.48,7.46M,0.34%
2021/12/07,67.51,67.02,67.55,66.98,7.43M,2.03%
2021/12/06,66.17,65.98,66.25,65.70,8.50M,1.16%
2021/12/03,65.41,66.02,66.06,64.97,17.21M,-0.76%
2021/12/02,65.91,65.57,66.10,65.56,10.76M,1.15%
2021/12/01,65.16,66.34,66.78,65.16,12.90M,-0.58%
2021/11/30,65.54,66.03,66.30,64.92,10.63M,-0.73%
2021/11/29,66.02,66.18,66.19,65.67,5.55M,0.70%
2021/11/26,65.56,66.06,66.16,65.36,7.16M,-2.44%
2021/11/24,67.20,66.60,67.22,66.60,6.10M,-0.64%
2021/11/23,67.63,67.64,67.87,67.25,5.22M,-0.35%
2021/11/22,67.87,68.28,68.46,67.87,5.33M,-0.80%
2021/11/19,68.42,68.74,68.77,68.38,3.24M,-1.33%
2021/11/18,69.34,69.24,69.36,69.00,3.33M,0.10%
2021/11/17,69.27,69.24,69.34,69.14,5.38M,0.13%
2021/11/16,69.18,69.36,69.42,69.15,4.77M,-0.22%
2021/11/15,69.33,69.71,69.71,69.27,3.06M,-0.33%
2021/11/12,69.56,69.47,69.63,69.37,4.04M,0.26%
2021/11/11,69.38,69.40,69.54,69.31,2.28M,0.36%
2021/11/10,69.13,69.72,69.83,69.05,3.94M,-1.16%
2021/11/09,69.94,70.17,70.21,69.77,9.21M,-0.11%
2021/11/08,70.02,70.01,70.18,69.91,2.21M,0.13%
2021/11/05,69.93,69.82,69.93,69.60,4.59M,0.19%
2021/11/04,69.80,69.75,69.81,69.56,4.78M,-0.31%
2021/11/03,70.02,69.40,70.08,69.30,5.79M,0.97%
2021/11/02,69.35,69.32,69.45,69.28,3.68M,-0.24%
2021/11/01,69.52,69.19,69.53,69.06,3.18M,0.89%
2021/10/29,68.91,68.84,68.94,68.61,5.30M,-0.73%
2021/10/28,69.42,69.02,69.45,68.98,3.36M,1.11%
2021/10/27,68.66,68.93,69.01,68.65,3.35M,-0.32%
2021/10/26,68.88,69.01,69.05,68.72,3.84M,0.38%
2021/10/25,68.62,68.64,68.69,68.44,3.51M,-0.36%
