Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,99.96,102.50,102.94,99.92,6.20M,-1.65%
2022/02/22,101.64,101.62,102.37,100.97,6.65M,-0.36%
2022/02/18,102.01,102.37,103.45,101.87,4.81M,-0.60%
2022/02/17,102.63,103.34,103.65,102.49,4.85M,-1.06%
2022/02/16,103.73,103.36,103.99,102.62,4.31M,0.46%
2022/02/15,103.25,103.22,103.86,102.88,3.61M,0.90%
2022/02/14,102.33,103.41,104.05,101.89,5.35M,-0.91%
2022/02/11,103.27,104.75,105.15,102.64,5.68M,-0.91%
2022/02/10,104.22,105.28,106.74,103.63,6.69M,-2.36%
2022/02/09,106.74,105.47,106.82,105.47,5.73M,2.26%
2022/02/08,104.38,104.81,105.19,104.12,6.11M,-0.47%
2022/02/07,104.87,104.94,105.59,104.64,5.85M,-0.14%
2022/02/04,105.02,105.38,106.27,104.03,6.87M,-0.99%
2022/02/03,106.07,106.53,107.06,105.99,5.40M,-1.06%
2022/02/02,107.21,106.41,107.52,106.28,4.60M,1.28%
2022/02/01,105.86,106.15,106.63,105.22,9.52M,-0.36%
2022/01/31,106.24,104.57,106.44,104.07,7.46M,1.23%
2022/01/28,104.95,101.80,104.96,100.62,6.92M,3.24%
2022/01/27,101.66,103.99,104.87,101.22,7.40M,-1.65%
2022/01/26,103.37,105.62,106.86,102.67,9.59M,-1.56%
2022/01/25,105.01,104.28,105.81,103.04,9.83M,-0.40%
2022/01/24,105.43,104.16,105.70,101.60,15.64M,0.19%
2022/01/21,105.23,105.53,106.60,104.96,8.03M,-0.25%
2022/01/20,105.49,107.00,108.29,105.42,6.95M,-1.28%
2022/01/19,106.86,108.90,109.36,106.86,5.11M,-1.35%
2022/01/18,108.32,108.75,108.90,107.60,5.82M,-1.05%
2022/01/14,109.47,109.88,109.99,108.17,6.47M,-0.91%
2022/01/13,110.47,111.00,111.49,110.28,3.91M,-0.20%
2022/01/12,110.69,110.57,111.37,110.52,4.25M,0.12%
2022/01/11,110.56,110.27,110.67,108.86,5.57M,0.15%
2022/01/10,110.39,110.35,110.50,109.02,6.50M,-0.58%
2022/01/07,111.03,111.48,111.85,110.75,7.00M,-0.66%
2022/01/06,111.77,111.81,112.21,110.60,5.97M,0.09%
2022/01/05,111.67,114.76,114.80,111.55,6.87M,-2.86%
2022/01/04,114.96,115.42,116.08,114.86,5.31M,-0.12%
2022/01/03,115.10,116.21,116.24,113.46,9.81M,-0.78%
2021/12/31,116.01,115.71,116.71,115.65,5.44M,0.28%
2021/12/30,115.69,115.24,116.17,115.24,3.98M,0.43%
2021/12/29,115.19,114.65,115.44,114.05,3.84M,0.67%
2021/12/28,114.42,113.93,114.54,113.67,3.61M,0.37%
2021/12/27,114.00,112.11,114.02,112.02,9.17M,0.75%
2021/12/23,113.15,113.55,113.69,112.56,6.98M,-0.11%
2021/12/22,113.27,112.45,113.38,112.32,4.48M,1.03%
2021/12/21,112.12,111.73,112.64,111.50,4.23M,1.13%
2021/12/20,110.87,110.57,111.18,109.62,6.06M,-0.78%
2021/12/17,111.74,111.69,112.97,111.49,7.20M,-0.13%
2021/12/16,111.88,112.27,112.92,111.27,5.90M,-0.04%
2021/12/15,111.92,110.70,112.11,110.37,6.52M,1.40%
2021/12/14,110.37,111.49,111.71,109.84,5.90M,-1.28%
2021/12/13,111.80,110.54,112.29,110.21,6.16M,0.94%
2021/12/10,110.76,110.98,111.00,110.28,3.83M,0.31%
2021/12/09,110.42,111.61,111.65,110.39,3.72M,-1.45%
2021/12/08,112.04,111.24,112.31,111.00,5.54M,0.72%
2021/12/07,111.24,110.56,111.56,110.29,5.36M,1.44%
2021/12/06,109.66,108.42,110.45,108.42,7.11M,1.75%
2021/12/03,107.77,108.25,108.76,106.84,7.80M,-0.33%
2021/12/02,108.13,105.65,108.76,105.61,7.13M,3.00%
2021/12/01,104.98,107.85,109.06,104.98,8.64M,-1.65%
2021/11/30,106.74,108.12,108.43,106.66,6.34M,-1.89%
2021/11/29,108.80,108.68,109.71,108.01,4.83M,0.74%
2021/11/26,108.00,109.50,109.50,107.36,3.51M,-2.78%
2021/11/24,111.09,109.69,111.29,109.43,3.23M,1.21%
2021/11/23,109.76,109.00,110.07,108.70,3.87M,0.81%
2021/11/22,108.88,109.68,109.82,108.70,3.35M,-0.49%
2021/11/19,109.42,110.08,110.18,109.01,2.93M,-0.59%
2021/11/18,110.07,110.20,110.26,109.58,2.81M,0.02%
2021/11/17,110.05,109.43,110.20,107.97,4.67M,0.31%
2021/11/16,109.71,110.55,110.59,109.47,3.04M,-0.66%
2021/11/15,110.44,109.91,110.47,109.45,2.71M,0.70%
2021/11/12,109.67,110.05,110.08,109.36,3.19M,-0.07%
2021/11/11,109.75,109.74,109.77,109.00,2.40M,0.16%
2021/11/10,109.57,109.82,110.44,109.53,4.02M,-0.46%
2021/11/09,110.08,110.04,110.31,109.77,2.67M,0.17%
2021/11/08,109.89,110.39,110.39,109.20,2.99M,-0.08%
2021/11/05,109.98,110.41,111.27,109.88,3.21M,0.51%
2021/11/04,109.42,110.49,110.91,108.97,3.38M,-0.95%
2021/11/03,110.47,110.09,110.77,109.61,2.72M,0.34%
2021/11/02,110.10,109.99,110.52,109.24,3.41M,0.47%
2021/11/01,109.58,109.41,109.79,107.80,5.85M,0.50%
2021/10/29,109.04,109.80,110.23,108.54,5.99M,-1.12%
2021/10/28,110.28,108.81,110.30,108.81,3.68M,1.40%
2021/10/27,108.76,110.00,110.07,108.76,3.57M,-0.85%
2021/10/26,109.69,109.60,110.05,109.36,2.94M,0.27%
2021/10/25,109.39,109.07,109.66,108.42,2.63M,0.32%
2021/10/22,109.04,108.67,109.41,108.57,4.87M,0.47%
2021/10/21,108.53,108.33,108.58,108.08,4.85M,0.14%
2021/10/20,108.38,106.89,108.38,106.85,6.02M,1.57%
2021/10/19,106.70,107.14,107.32,106.61,3.10M,0.05%
2021/10/18,106.65,105.93,107.00,105.80,3.42M,0.25%
2021/10/15,106.38,107.31,107.40,105.91,3.07M,-0.08%
2021/10/14,106.46,105.75,106.55,105.53,2.72M,1.22%
2021/10/13,105.18,104.29,105.22,103.63,3.37M,0.73%
2021/10/12,104.42,103.33,104.86,103.07,3.67M,1.31%
2021/10/11,103.07,102.82,103.52,102.34,2.63M,0.25%
2021/10/08,102.81,103.78,103.90,102.73,5.30M,-0.94%
2021/10/07,103.79,104.07,105.00,103.66,4.06M,0.27%
2021/10/06,103.51,102.02,103.64,101.02,5.59M,0.96%
2021/10/05,102.53,103.32,103.40,102.17,4.31M,-0.69%
2021/10/04,103.24,103.06,103.69,102.60,5.64M,0.02%
2021/10/01,103.22,102.44,103.93,101.83,6.11M,1.41%
2021/09/30,101.78,103.81,103.95,101.78,7.02M,-1.65%
2021/09/29,103.49,103.25,103.99,103.17,6.23M,0.75%
2021/09/28,102.72,102.65,103.27,102.11,7.10M,-0.68%
2021/09/27,103.42,104.88,105.58,103.33,4.31M,-1.35%
2021/09/24,104.83,105.68,106.10,104.59,4.88M,-1.68%
2021/09/23,106.62,107.24,107.49,106.53,4.04M,-0.20%
2021/09/22,106.83,106.43,107.47,106.13,4.65M,0.97%
2021/09/21,105.80,106.37,107.06,105.78,4.37M,0.05%
2021/09/20,105.75,105.24,106.31,104.49,6.21M,-0.61%
2021/09/17,106.40,107.13,107.66,106.18,6.96M,-0.89%
2021/09/16,107.36,107.19,107.86,106.57,3.41M,0.08%
2021/09/15,107.27,106.93,107.74,106.50,4.03M,0.32%
2021/09/14,106.93,107.53,107.70,106.32,3.85M,-0.18%
2021/09/13,107.12,107.20,107.99,106.83,5.73M,0.68%
2021/09/10,106.40,108.07,108.25,106.38,5.89M,-1.46%
2021/09/09,107.98,109.69,109.69,107.95,6.22M,-2.03%
2021/09/08,110.22,109.31,110.53,109.15,4.27M,0.50%
2021/09/07,109.67,110.64,110.64,108.83,4.93M,-1.13%
2021/09/03,110.92,110.63,111.06,109.70,4.46M,0.02%
2021/09/02,110.90,110.53,110.91,109.65,5.21M,0.53%
2021/09/01,110.32,108.84,110.39,108.81,5.68M,1.60%
2021/08/31,108.58,107.87,108.70,107.57,4.21M,0.47%
2021/08/30,108.07,107.10,108.08,106.81,3.60M,1.00%
2021/08/27,107.00,106.27,107.33,106.16,3.06M,1.05%
2021/08/26,105.89,105.98,106.23,105.47,2.89M,0.04%
2021/08/25,105.85,105.91,106.50,105.43,3.33M,-0.07%
2021/08/24,105.92,106.58,106.60,105.46,2.87M,-0.44%
2021/08/23,106.39,106.84,107.00,106.09,3.23M,-0.19%
2021/08/20,106.59,105.82,107.03,105.22,3.24M,0.50%
2021/08/19,106.06,105.06,106.14,104.86,4.07M,0.48%
2021/08/18,105.55,106.33,106.35,105.49,3.44M,-0.91%
2021/08/17,106.52,106.16,106.56,105.61,3.00M,-0.10%
2021/08/16,106.63,106.66,107.22,106.38,3.17M,-0.12%
2021/08/13,106.76,106.40,106.88,106.05,2.60M,0.55%
2021/08/12,106.18,106.15,106.23,105.72,2.89M,0.22%
2021/08/11,105.95,105.71,106.08,105.29,3.26M,0.59%
2021/08/10,105.33,106.44,106.49,105.20,3.77M,-0.95%
2021/08/09,106.34,106.72,106.72,106.15,2.73M,-0.53%
2021/08/08,106.91,106.91,106.91,106.91,-,0.00%
2021/08/07,106.91,106.91,106.91,106.91,-,0.00%
2021/08/06,106.91,107.20,107.62,106.76,2.75M,-0.18%
2021/08/05,107.10,106.44,107.12,106.19,3.29M,1.17%
2021/08/04,105.86,106.10,106.57,105.48,4.04M,-0.31%
2021/08/03,106.19,106.38,106.40,105.44,5.18M,0.12%
2021/08/02,106.06,106.81,107.64,105.86,4.09M,-0.22%
2021/07/30,106.29,106.25,107.69,106.25,4.33M,0.13%
2021/07/29,106.15,106.50,107.18,106.05,3.36M,0.02%
2021/07/28,106.13,106.65,106.79,105.80,3.58M,-0.35%
2021/07/27,106.50,105.67,106.66,105.42,3.10M,0.57%
2021/07/26,105.90,105.68,106.16,105.13,2.86M,0.05%
2021/07/23,105.85,105.35,105.97,104.98,4.13M,0.83%
2021/07/22,104.98,105.33,105.34,104.44,3.93M,-0.79%
2021/07/21,105.82,106.02,106.52,105.66,4.33M,-0.01%
2021/07/20,105.83,103.95,106.24,103.80,5.00M,2.36%
2021/07/19,103.39,104.11,104.33,102.59,5.10M,-1.82%
2021/07/16,105.31,105.78,106.18,105.25,6.44M,-0.07%
2021/07/15,105.38,105.04,105.50,104.94,2.99M,0.16%
2021/07/14,105.21,104.43,105.52,104.27,3.40M,0.70%
2021/07/13,104.48,105.60,105.74,104.08,5.47M,-1.40%
2021/07/12,105.96,104.92,106.05,104.80,5.63M,0.86%
2021/07/09,105.06,103.90,105.07,103.63,5.78M,1.64%
2021/07/08,103.36,102.66,103.76,102.53,6.43M,-0.28%
2021/07/07,103.65,103.08,103.99,102.81,5.09M,0.35%
2021/07/06,103.29,102.59,103.46,101.80,4.48M,0.73%
2021/07/05,102.54,102.54,102.54,102.54,-,0.00%
2021/07/04,102.54,102.54,102.54,102.54,-,0.00%
2021/07/03,102.54,102.54,102.54,102.54,-,0.00%
2021/07/02,102.54,102.63,103.04,102.17,4.45M,0.30%
2021/07/01,102.23,101.84,103.02,101.51,6.49M,0.43%
2021/06/30,101.79,102.35,102.88,101.69,6.64M,-0.53%
2021/06/29,102.33,102.77,103.20,102.26,3.78M,-0.27%
2021/06/28,102.61,102.96,103.06,101.70,3.94M,-0.29%
2021/06/25,102.91,102.27,103.00,102.09,2.74M,0.68%
2021/06/24,102.22,102.51,102.63,101.66,3.23M,-0.92%
2021/06/23,103.17,103.42,103.74,103.08,3.68M,-0.17%
2021/06/22,103.35,103.94,103.97,103.29,3.09M,-0.52%
2021/06/21,103.89,102.31,104.21,101.80,3.67M,2.06%
2021/06/18,101.79,103.06,103.46,101.79,5.36M,-1.70%
2021/06/17,103.55,103.41,103.70,102.86,5.06M,-0.13%
2021/06/16,103.68,104.58,105.05,103.49,4.50M,-0.65%
2021/06/15,104.36,105.40,105.49,104.36,4.10M,-1.07%
2021/06/14,105.49,105.09,105.49,104.91,3.53M,0.39%
2021/06/11,105.08,105.52,105.63,104.56,3.27M,-0.40%
2021/06/10,105.50,104.85,105.77,104.54,4.01M,0.72%
2021/06/09,104.75,104.91,105.21,104.70,3.24M,0.13%
2021/06/08,104.61,104.01,104.89,103.89,3.94M,0.83%
2021/06/07,103.75,102.74,104.20,102.71,4.77M,1.18%
