Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,51.70,52.45,52.45,51.58,209.53K,-1.03%
2022/02/22,52.24,52.18,52.42,51.95,298.94K,-0.68%
2022/02/18,52.60,52.79,52.93,52.46,215.36K,-0.02%
2022/02/17,52.61,52.90,52.94,52.58,213.53K,-1.16%
2022/02/16,53.23,52.90,53.30,52.81,435.17K,0.89%
2022/02/15,52.76,52.23,52.76,52.23,197.53K,1.87%
2022/02/14,51.79,52.08,52.08,51.57,288.17K,-1.03%
2022/02/11,52.33,52.75,52.93,52.08,350.78K,-1.04%
2022/02/10,52.88,52.80,53.45,52.73,276.14K,-0.04%
2022/02/09,52.90,52.78,52.94,52.70,438.55K,1.26%
2022/02/08,52.24,52.05,52.27,52.00,305.99K,-0.15%
2022/02/07,52.32,52.23,52.49,52.15,272.19K,-0.32%
2022/02/04,52.49,52.43,52.68,52.17,254.61K,-0.32%
2022/02/03,52.66,52.86,53.08,52.66,595.81K,-0.79%
2022/02/02,53.08,53.03,53.26,52.88,504.42K,0.68%
2022/02/01,52.72,52.78,52.86,52.38,416.18K,-0.26%
2022/01/31,52.86,52.12,52.89,51.97,293.93K,1.83%
2022/01/28,51.91,51.50,51.92,51.30,407.89K,0.54%
2022/01/27,51.63,52.35,52.37,51.56,791.11K,-0.73%
2022/01/26,52.01,52.64,52.90,51.93,239.39K,-0.29%
2022/01/25,52.16,52.02,52.48,51.74,394.74K,-0.63%
2022/01/24,52.49,52.29,52.49,51.34,408.72K,-0.21%
2022/01/21,52.60,52.93,53.05,52.56,818.83K,-0.04%
2022/01/20,52.62,53.00,53.30,52.59,265.05K,-0.85%
2022/01/19,53.07,53.29,53.29,52.95,257.51K,0.59%
2022/01/18,52.76,53.47,53.47,52.60,742.80K,-1.35%
2022/01/14,53.48,53.52,53.56,53.22,736.32K,-0.07%
2022/01/13,53.52,53.98,53.98,53.51,210.01K,-0.80%
2022/01/12,53.95,53.67,54.03,53.67,239.70K,0.60%
2022/01/11,53.63,53.06,53.69,53.03,303.24K,0.68%
2022/01/10,53.27,53.15,53.28,52.86,281.72K,-0.41%
2022/01/07,53.49,53.32,53.54,53.17,345.11K,0.19%
2022/01/06,53.39,53.31,53.53,53.16,409.83K,0.06%
2022/01/05,53.36,54.23,54.23,53.35,505.50K,-1.48%
2022/01/04,54.16,54.21,54.24,54.05,358.00K,0.18%
2022/01/03,54.06,54.00,54.06,53.79,335.03K,0.20%
2021/12/31,53.95,53.78,54.11,53.78,222.10K,0.02%
2021/12/30,53.94,53.89,54.07,53.87,380.23K,0.15%
2021/12/29,53.86,53.60,53.90,53.58,480.82K,0.43%
2021/12/28,53.63,53.68,53.86,53.54,620.77K,0.02%
2021/12/27,53.62,53.18,53.62,53.14,730.29K,1.25%
2021/12/23,52.96,52.75,53.08,52.71,494.31K,0.40%
2021/12/22,52.75,52.49,52.75,52.48,690.02K,0.11%
2021/12/21,52.69,52.74,52.79,52.39,484.22K,-4.48%
2021/12/20,55.16,55.29,55.29,54.91,196.84K,-1.16%
2021/12/17,55.81,55.71,56.10,55.71,173.37K,0.16%
2021/12/16,55.72,55.94,56.09,55.64,251.38K,-0.50%
2021/12/15,56.00,55.60,56.09,55.31,230.70K,0.72%
2021/12/14,55.60,55.67,55.80,55.38,144.69K,-0.52%
2021/12/13,55.89,56.02,56.13,55.80,157.14K,-1.36%
2021/12/10,56.66,56.50,56.68,56.38,119.28K,0.25%
2021/12/09,56.52,56.71,56.77,56.45,176.54K,-0.34%
2021/12/08,56.71,56.45,56.74,56.42,240.85K,-0.07%
2021/12/07,56.75,56.48,56.75,56.48,201.43K,1.39%
2021/12/06,55.97,55.60,56.08,55.58,198.79K,0.68%
2021/12/03,55.59,55.87,55.94,55.24,399.38K,0.07%
2021/12/02,55.55,55.04,55.70,55.04,281.22K,1.39%
2021/12/01,54.79,55.73,55.94,54.79,244.99K,-0.72%
2021/11/30,55.19,55.77,55.82,55.01,602.38K,-1.08%
2021/11/29,55.79,55.79,55.91,55.62,209.61K,-0.39%
2021/11/26,56.01,56.33,56.53,55.68,258.05K,-2.08%
2021/11/24,57.20,56.79,57.22,56.76,100.82K,0.26%
2021/11/23,57.05,57.01,57.13,56.88,156.60K,0.39%
2021/11/22,56.83,57.30,57.30,56.82,186.65K,-1.01%
2021/11/19,57.41,57.49,57.59,57.39,144.07K,-0.10%
2021/11/18,57.47,57.25,57.50,57.20,125.93K,0.38%
2021/11/17,57.25,57.49,57.49,57.15,233.52K,-0.64%
2021/11/16,57.62,57.73,57.78,57.55,136.96K,0.00%
2021/11/15,57.62,57.83,57.83,57.60,126.05K,-0.24%
2021/11/12,57.76,57.77,57.87,57.69,176.95K,0.09%
2021/11/11,57.71,57.76,57.76,57.51,167.29K,0.54%
2021/11/10,57.40,57.87,57.87,57.37,256.80K,-0.62%
2021/11/09,57.76,57.95,57.95,57.64,152.67K,-0.60%
2021/11/08,58.11,58.10,58.11,58.00,192.07K,0.41%
2021/11/05,57.87,57.95,57.96,57.73,250.88K,0.17%
2021/11/04,57.77,57.75,57.81,57.65,206.42K,0.03%
2021/11/03,57.75,57.20,57.75,57.13,203.65K,0.96%
2021/11/02,57.20,57.29,57.42,57.08,143.80K,-0.47%
2021/11/01,57.47,57.31,57.47,57.20,301.87K,-0.05%
2021/10/29,57.50,57.45,57.50,57.27,174.32K,-1.03%
2021/10/28,58.10,57.83,58.10,57.80,230.21K,0.75%
2021/10/27,57.67,57.82,57.94,57.62,120.06K,0.10%
2021/10/26,57.61,57.78,57.83,57.54,176.65K,-0.64%
2021/10/25,57.98,57.93,58.04,57.83,156.14K,-0.17%
2021/10/22,58.08,58.01,58.26,57.91,196.96K,0.55%
2021/10/21,57.76,57.77,57.86,57.68,142.85K,0.26%
2021/10/20,57.61,57.44,57.69,57.38,298.36K,0.19%
2021/10/19,57.50,57.45,57.68,57.43,222.42K,0.23%
2021/10/18,57.37,57.06,57.40,57.06,210.74K,-0.26%
2021/10/15,57.52,57.25,57.55,57.16,145.15K,0.72%
2021/10/14,57.11,56.99,57.13,56.96,105.85K,0.46%
2021/10/13,56.85,56.59,57.00,56.57,246.50K,1.45%
2021/10/12,56.04,55.94,56.22,55.86,319.98K,0.29%
2021/10/11,55.88,55.77,56.02,55.77,280.12K,0.40%
2021/10/08,55.66,56.17,56.20,55.65,4.94M,-1.01%
2021/10/07,56.23,56.05,56.40,56.05,144.44K,0.82%
2021/10/06,55.77,55.38,55.77,55.20,351.56K,-0.48%
2021/10/05,56.04,55.90,56.18,55.82,391.58K,-0.32%
2021/10/04,56.22,56.32,56.46,55.94,512.95K,-0.02%
2021/10/01,56.23,56.33,56.39,55.92,744.40K,-0.14%
2021/09/30,56.31,56.39,56.49,56.01,823.68K,0.28%
2021/09/29,56.15,56.45,56.47,56.11,564.29K,-0.44%
2021/09/28,56.40,56.42,56.56,56.19,899.86K,-1.28%
2021/09/27,57.13,57.02,57.22,57.01,651.85K,0.30%
2021/09/24,56.96,57.01,57.04,56.79,638.52K,-2.30%
2021/09/23,58.30,58.35,58.47,58.24,308.42K,1.09%
2021/09/22,57.67,57.73,58.17,57.67,174.82K,0.37%
2021/09/21,57.46,57.40,57.60,57.38,233.68K,1.48%
2021/09/20,56.62,56.60,56.88,56.30,452.82K,-2.46%
2021/09/17,58.05,58.34,58.41,57.90,616.23K,-0.90%
2021/09/16,58.58,58.27,58.58,58.26,470.42K,-0.68%
2021/09/15,58.98,58.70,58.98,58.52,1.06M,0.03%
2021/09/14,58.96,59.18,59.21,58.87,322.86K,-0.71%
2021/09/13,59.38,59.21,59.40,59.08,243.28K,0.81%
2021/09/10,58.90,59.46,59.49,58.90,111.17K,-0.66%
2021/09/09,59.29,59.22,59.40,59.19,269.49K,0.58%
2021/09/08,58.95,59.20,59.28,58.90,234.62K,-0.96%
2021/09/07,59.52,59.61,59.66,59.46,197.51K,-0.92%
2021/09/03,60.07,59.90,60.18,59.86,181.55K,0.45%
2021/09/02,59.80,59.99,59.99,59.80,292.30K,0.00%
2021/09/01,59.80,59.64,59.96,59.64,204.44K,0.91%
2021/08/31,59.26,59.36,59.40,59.26,298.47K,-0.37%
2021/08/30,59.48,59.40,59.50,59.37,259.04K,-0.03%
2021/08/27,59.50,58.89,59.50,58.85,131.33K,1.69%
2021/08/26,58.51,58.58,58.62,58.44,199.95K,-0.12%
2021/08/25,58.58,58.50,58.66,58.48,250.56K,-0.34%
2021/08/24,58.78,58.62,58.82,58.58,143.08K,0.19%
2021/08/23,58.67,58.58,58.71,58.45,251.71K,-0.24%
2021/08/20,58.81,58.36,58.81,58.36,134.49K,0.43%
2021/08/19,58.56,58.31,58.56,58.27,217.79K,-0.56%
2021/08/18,58.89,59.20,59.25,58.89,171.88K,0.32%
2021/08/17,58.70,58.69,58.78,58.44,187.60K,-1.23%
2021/08/16,59.43,59.30,59.48,59.16,230.73K,0.03%
2021/08/13,59.41,59.22,59.48,59.22,101.24K,0.52%
2021/08/12,59.10,59.02,59.14,58.97,213.05K,-0.37%
2021/08/11,59.32,59.16,59.39,59.16,118.64K,1.33%
2021/08/10,58.54,58.59,58.61,58.51,129.77K,-0.36%
2021/08/09,58.75,58.84,58.95,58.75,147.50K,-0.10%
2021/08/06,58.81,58.98,59.03,58.75,437.19K,-0.93%
2021/08/05,59.36,59.19,59.39,59.06,298.54K,0.70%
2021/08/04,58.95,59.01,59.16,58.82,298.67K,0.02%
2021/08/03,58.94,58.85,58.94,58.60,257.17K,0.34%
2021/08/02,58.74,58.89,59.10,58.66,303.30K,0.58%
2021/07/30,58.40,58.48,58.70,58.39,204.57K,-0.51%
2021/07/29,58.70,58.76,58.80,58.65,121.88K,-0.14%
2021/07/28,58.78,58.54,58.89,58.43,447.18K,0.93%
2021/07/27,58.24,58.08,58.33,58.08,142.95K,-0.21%
2021/07/26,58.36,58.28,58.44,58.18,134.24K,-0.65%
2021/07/23,58.74,58.73,58.83,58.60,306.36K,0.12%
2021/07/22,58.67,58.75,58.86,58.57,162.46K,0.19%
2021/07/21,58.56,58.30,58.71,58.28,253.12K,0.90%
2021/07/20,58.04,57.81,58.23,57.66,147.03K,0.35%
2021/07/19,57.84,58.20,58.20,57.61,262.94K,-1.31%
2021/07/16,58.61,59.27,59.41,58.61,6.45M,-0.93%
2021/07/15,59.16,59.12,59.27,58.96,178.13K,-0.29%
2021/07/14,59.33,59.34,59.47,59.27,206.56K,-0.19%
2021/07/13,59.44,59.54,59.73,59.35,1.15M,-0.97%
2021/07/12,60.02,59.73,60.04,59.67,608.73K,0.59%
2021/07/09,59.67,59.17,59.71,59.17,940.11K,1.41%
2021/07/08,58.84,58.62,58.85,58.56,583.04K,-0.71%
2021/07/07,59.26,59.11,59.28,58.91,1.07M,0.24%
2021/07/06,59.12,59.00,59.15,58.81,697.63K,0.34%
2021/07/02,58.92,58.61,58.92,58.53,131.43K,0.92%
2021/07/01,58.38,58.36,58.45,58.08,735.30K,0.03%
2021/06/30,58.36,58.15,58.39,58.14,1.28M,-0.55%
2021/06/29,58.68,58.74,58.77,58.59,163.43K,-0.15%
2021/06/28,58.77,59.07,59.09,58.73,209.98K,-0.76%
2021/06/25,59.22,59.28,59.38,59.15,242.05K,-0.02%
2021/06/24,59.23,59.21,59.30,59.12,223.92K,0.44%
2021/06/23,58.97,59.29,59.40,58.90,325.66K,-0.77%
2021/06/22,59.43,59.21,59.48,59.10,109.91K,0.37%
2021/06/21,59.21,58.89,59.24,58.68,237.55K,1.13%
2021/06/18,58.55,58.65,58.68,58.48,259.74K,-1.13%
2021/06/17,59.22,59.30,59.38,59.02,178.93K,-0.95%
2021/06/16,59.79,60.13,60.25,59.63,198.34K,-0.58%
2021/06/15,60.14,60.45,60.50,60.08,213.54K,-0.86%
2021/06/14,60.66,60.52,60.70,60.52,126.14K,0.23%
2021/06/11,60.52,60.55,60.74,60.25,135.56K,-0.54%
2021/06/10,60.85,60.77,60.88,60.62,247.43K,0.66%
2021/06/09,60.45,60.69,60.70,60.42,263.16K,0.00%
2021/06/08,60.45,60.40,60.47,60.26,278.15K,0.67%
2021/06/07,60.05,59.83,60.05,59.82,278.03K,0.69%
2021/06/04,59.64,59.56,59.69,59.43,135.83K,0.66%
2021/06/03,59.25,59.49,59.49,59.15,204.87K,-0.89%
2021/06/02,59.78,59.49,59.78,59.48,148.80K,1.18%
2021/06/01,59.08,59.13,59.16,58.98,285.12K,0.34%
2021/05/28,58.88,58.72,59.00,58.68,163.02K,0.31%
2021/05/27,58.70,58.60,58.78,58.55,203.37K,0.41%
2021/05/26,58.46,58.30,58.59,58.24,175.91K,0.39%
2021/05/25,58.23,58.28,58.38,58.16,192.71K,0.10%
2021/05/24,58.17,57.87,58.23,57.74,187.19K,0.97%
2021/05/21,57.61,57.91,57.91,57.56,377.61K,-0.89%
2021/05/20,58.13,57.80,58.14,57.75,147.32K,1.20%
2021/05/19,57.44,57.50,57.71,57.25,142.97K,-0.50%
2021/05/18,57.73,57.72,57.88,57.43,300.29K,0.91%
2021/05/17,57.21,56.94,57.21,56.89,171.89K,0.32%
2021/05/14,57.03,56.85,57.15,56.72,297.06K,0.71%
2021/05/13,56.63,56.41,56.84,56.35,311.50K,0.07%
2021/05/12,56.59,57.17,57.22,56.43,197.84K,-1.96%
2021/05/11,57.72,57.58,57.88,57.46,227.69K,-0.98%
2021/05/10,58.29,58.51,58.60,58.23,166.80K,-0.24%
2021/05/07,58.43,57.85,58.43,57.78,271.07K,1.27%
2021/05/06,57.70,57.16,57.70,57.16,217.85K,0.63%
2021/05/05,57.34,57.42,57.44,57.23,272.69K,0.24%
2021/05/04,57.20,57.31,57.49,57.00,215.54K,-0.80%
2021/05/03,57.66,57.52,57.78,57.40,263.25K,0.91%
2021/04/30,57.14,57.45,57.57,57.08,233.10K,-0.97%
2021/04/29,57.70,57.76,57.82,57.46,218.00K,0.03%
2021/04/28,57.68,57.61,57.80,57.42,149.91K,0.45%
2021/04/27,57.42,57.52,57.55,57.41,321.18K,-0.50%
