Date,Open,High,Low,Price,Volume
2001/06/15,55.425,56.005,55.175,55.665,1067400
2001/06/18,55.815,55.915,55.31,55.31,282600
2001/06/19,56.15,56.165,55.235,55.465,1777600
2001/06/20,55.375,56.075,55.375,56.05,476000
2001/06/21,56,56.725,55.875,56.5,240400
2001/06/22,56.45,56.45,55.875,56.14,180600
2001/06/25,56.1,56.19,55.39,55.64,30400
2001/06/26,55.05,55.775,55.03,55.495,146600
2001/06/27,55.6,55.84,55.235,55.5,114000
2001/06/28,55.9,56.69,55.9,56.18,357400
2001/06/29,56.025,56.81,55.955,56.5,215000
2001/07/02,56.3,56.97,56.3,56.65,290000
2001/07/03,56.575,56.675,56.415,56.62,56800
2001/07/05,56.445,56.47,55.975,55.975,627600
2001/07/06,55.5,55.54,54.5,54.5,777000
2001/07/09,54.715,55.1,54.65,54.85,850000
2001/07/10,55.13,55.155,54.125,54.125,218000
2001/07/11,54.225,54.26,53.63,54.195,47200
2001/07/12,54.725,55.545,54.72,55.48,64800
2001/07/13,55.2,55.87,55.15,55.745,430000
2001/07/16,55.775,55.775,55.04,55.1,46400
2001/07/17,55,55.75,54.87,55.75,183400
2001/07/18,55.275,55.545,54.955,55.17,54400
2001/07/19,55.875,56.12,55.25,55.48,18600
2001/07/20,55.5,55.645,55.25,55.485,11600
2001/07/23,55.625,55.695,54.525,54.525,52000
2001/07/24,54.335,54.52,53.4,53.77,102400
2001/07/25,53.85,54.47,53.73,54.45,519200
2001/07/26,54.34,55.145,54.195,55.145,65000
2001/07/27,55.185,55.42,54.87,55.24,208000
2001/07/30,55.4,55.4,54.955,55.195,25600
2001/07/31,55.25,55.92,55.205,55.42,119200
2001/08/01,55.6,55.97,55.475,55.66,237400
2001/08/02,56.175,56.2,55.625,55.835,62200
2001/08/03,55.8,55.8,55.27,55.64,17600
2001/08/06,55.6,55.6,54.91,55,30400
2001/08/07,54.95,55.17,54.9,55.1,29200
2001/08/08,54.925,55.22,54.05,54.1,54400
2001/08/09,54.045,54.26,53.805,54.26,56200
2001/08/10,54.3,54.625,53.575,54.48,114200
2001/08/13,54.62,54.73,54.36,54.575,34200
2001/08/14,54.775,54.95,54.355,54.455,38600
2001/08/15,54.695,54.695,53.985,53.985,49800
2001/08/16,53.945,54.15,53.55,54.15,42800
2001/08/17,53.86,53.9,53.17,53.325,84600
2001/08/20,53.375,53.725,53.35,53.7,71800
2001/08/21,53.8,54.15,52.95,52.95,69800
2001/08/22,53.29,53.575,52.86,53.44,326800
2001/08/23,53.45,53.535,53.25,53.37,31000
2001/08/24,53.5,54.345,53.405,54.345,52400
2001/08/27,54.2,54.35,54,54.15,75600
2001/08/28,54.075,54.075,53.245,53.245,61600
2001/08/29,53.475,53.475,52.65,52.745,90000
2001/08/30,52.625,52.82,51.705,51.955,111800
2001/08/31,52.075,52.56,51.915,52.175,69800
2001/09/04,52.17,53.035,51.9,51.9,71600
2001/09/05,51.925,52.06,51.26,51.825,45800
2001/09/06,51.705,51.705,50.775,50.775,90600
2001/09/07,50.52,50.84,49.75,49.75,133200
2001/09/10,49.65,50.3,49.375,50.125,75200
2001/09/17,47.125,48.55,47.125,47.745,410000
2001/09/18,47.725,48,47.075,47.135,318400
2001/09/19,47.25,47.525,45.1,46.5,257200
2001/09/20,45.75,45.95,45,45,218200
2001/09/21,43.5,45,43.4,44.275,223200
2001/09/24,45.5,45.975,45.13,45.695,578000
2001/09/25,45.975,46.32,45.5,46.125,190000
2001/09/26,46.425,46.425,45.635,45.77,244200
2001/09/27,45.8,46.445,45.38,46.225,406200
2001/09/28,46.675,47.475,46.675,47.475,365800
2001/10/01,47.1,47.3,46.655,47.045,922000
2001/10/02,47.025,47.67,47,47.625,983400
2001/10/03,47.175,48.9,47.175,48.465,722600
2001/10/04,49.095,49.49,48.625,48.625,579000
2001/10/05,48.625,48.775,47.965,48.65,338000
2001/10/08,48.225,48.645,48.155,48.325,726800
2001/10/09,48.3,48.325,47.955,48.005,466400
2001/10/10,48.075,49.175,48.075,49.145,665600
2001/10/11,49.875,50.13,49.725,50.045,540200
2001/10/12,49.725,49.955,48.87,49.665,353400
2001/10/15,49.4,49.775,49.175,49.735,458600
2001/10/16,49.7,50.305,49.65,50.015,1283000
2001/10/17,50.395,50.505,49,49,516200
2001/10/18,49.005,49.14,48.54,48.745,476600
2001/10/19,48.555,49.045,48.25,48.88,536800
2001/10/22,48.85,49.715,48.805,49.61,449800
2001/10/23,49.85,50.085,49.375,49.425,397600
2001/10/24,49.5,49.695,49.205,49.4,445000
2001/10/25,49,50.15,48.695,50.1,773600
2001/10/26,50.125,50.575,49.99,50.37,308000
2001/10/29,50.2,50.2,49.2,49.2,339800
2001/10/30,48.89,48.89,48.085,48.39,436800
2001/10/31,48.675,49.07,48.45,48.45,227400
2001/11/01,48.725,49.53,48.065,49.47,343200
2001/11/02,49.1,49.745,49.1,49.55,308000
2001/11/05,50.4,50.43,50.105,50.26,241400
2001/11/06,50.21,51.005,50,50.99,388000
2001/11/07,51,51.37,50.84,50.9,154800
2001/11/08,51.275,51.745,50.89,50.93,128200
2001/11/09,50.915,51.13,50.665,51.04,207400
2001/11/12,50.49,51.065,50.03,50.95,368400
2001/11/13,51.6,51.94,51.44,51.85,153400
2001/11/14,52.425,52.425,51.715,52.17,207800
2001/11/15,52.1,52.3,51.81,52.005,203800
2001/11/16,52.125,52.165,51.555,51.985,163800
2001/11/19,52.25,52.515,52.04,52.515,273800
2001/11/20,52.575,52.61,52.135,52.14,84000
2001/11/21,52.2,52.2,51.63,51.82,128600
2001/11/23,51.9,52.545,51.9,52.455,90800
2001/11/26,52.665,52.88,52.335,52.775,139000
2001/11/27,52.75,53.175,52.2,52.63,241400
2001/11/28,52.45,52.45,51.52,51.52,207600
2001/11/29,51.91,52.31,51.555,52.31,170400
2001/11/30,52.19,52.395,52.14,52.14,331800
2001/12/03,51.835,51.95,51.57,51.78,263800
2001/12/04,51.98,52.46,51.825,52.46,184600
2001/12/05,52.975,53.91,52.895,53.75,201000
2001/12/06,53.85,53.95,53.51,53.65,275800
2001/12/07,53.68,53.68,53.095,53.535,173400
2001/12/10,53.2,53.305,52.475,52.525,346800
2001/12/11,52.75,52.995,52.265,52.39,254400
2001/12/12,52.575,52.595,51.85,52.36,315400
2001/12/13,51.99,52.14,51.5,51.58,111000
2001/12/14,51.525,51.925,51.4,51.815,192400
2001/12/17,51.85,52.39,51.815,52.195,81600
2001/12/18,52.7,52.83,52.555,52.735,324600
2001/12/19,52.5,53.14,52.38,52.975,112200
2001/12/20,52.95,53.035,52.5,52.5,131800
2001/12/21,52.575,52.92,52.55,52.78,338200
2001/12/24,52.7,52.76,52.685,52.7,123200
2001/12/26,52.575,53.31,52.575,52.96,94600
2001/12/27,53.1,53.275,53.01,53.265,94400
2001/12/28,53.47,53.63,53.33,53.425,220000
2001/12/31,53.475,53.475,52.695,52.695,137600
2002/01/02,53,53.17,52.305,53.125,1627600
2002/01/03,53.23,53.695,53.175,53.695,354400
2002/01/04,53.9,54.205,53.645,54.05,487200
2002/01/07,54.375,54.375,53.68,53.7,760400
2002/01/08,53.81,53.81,53.425,53.545,278600
2002/01/09,53.575,54.195,53.24,53.365,219200
2002/01/10,53.325,53.525,53.17,53.325,281000
2002/01/11,53.5,53.5,52.865,52.88,80000
2002/01/14,52.85,52.85,52.465,52.465,442600
2002/01/15,52.7,52.955,52.46,52.825,271800
2002/01/16,52.425,52.52,51.95,51.95,346400
2002/01/17,52.45,52.525,52.175,52.49,212000
2002/01/18,52.46,52.46,51.875,52.005,215800
2002/01/22,52.425,52.425,51.55,51.6,140000
2002/01/23,51.725,52.17,51.475,52.045,42000
