Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,48.47,49.22,49.26,48.40,15.56M,-0.92%
2022/02/22,48.92,48.96,49.25,48.61,19.44M,-1.55%
2022/02/18,49.69,49.99,49.99,49.56,15.19M,-0.78%
2022/02/17,50.08,50.41,50.53,49.99,11.97M,-1.30%
2022/02/16,50.74,50.29,50.93,50.27,12.96M,0.75%
2022/02/15,50.36,49.97,50.41,49.93,12.63M,2.27%
2022/02/14,49.24,49.39,49.46,48.98,17.62M,-0.75%
2022/02/11,49.61,50.35,50.51,49.51,15.70M,-1.55%
2022/02/10,50.39,50.29,50.99,50.22,13.96M,-0.55%
2022/02/09,50.67,50.36,50.70,50.28,11.09M,1.48%
2022/02/08,49.93,49.42,49.94,49.40,11.71M,0.91%
2022/02/07,49.48,49.38,49.73,49.33,13.49M,0.00%
2022/02/04,49.48,49.14,49.69,49.02,15.48M,0.06%
2022/02/03,49.45,49.32,49.66,49.22,13.94M,-0.84%
2022/02/02,49.87,50.11,50.12,49.53,11.59M,-0.18%
2022/02/01,49.96,49.85,49.96,49.45,21.06M,0.58%
2022/01/31,49.67,48.73,49.74,48.68,20.55M,3.20%
2022/01/28,48.13,48.03,48.16,47.54,27.92M,0.17%
2022/01/27,48.05,48.56,48.62,48.02,22.85M,-0.89%
2022/01/26,48.48,49.28,49.39,48.37,20.41M,-1.04%
2022/01/25,48.99,48.77,49.25,48.49,26.61M,-0.02%
2022/01/24,49.00,48.93,49.01,47.97,36.46M,-1.33%
2022/01/21,49.66,50.35,50.37,49.63,21.51M,-1.57%
2022/01/20,50.45,50.95,51.20,50.38,16.33M,0.62%
2022/01/19,50.14,50.29,50.38,50.08,14.64M,0.40%
2022/01/18,49.94,49.96,50.22,49.88,19.18M,-1.48%
2022/01/14,50.69,50.50,50.75,50.42,13.13M,0.20%
2022/01/13,50.59,51.07,51.10,50.56,12.45M,-1.25%
2022/01/12,51.23,51.01,51.26,50.83,15.08M,1.53%
2022/01/11,50.46,49.76,50.47,49.64,16.48M,1.94%
2022/01/10,49.50,49.55,49.69,49.19,18.17M,0.20%
2022/01/07,49.40,49.26,49.51,49.05,10.71M,0.51%
2022/01/06,49.15,49.04,49.36,48.85,14.78M,0.57%
2022/01/05,48.87,49.44,49.76,48.85,18.23M,-1.49%
2022/01/04,49.61,49.84,49.88,49.52,9.32M,-0.40%
2022/01/03,49.81,49.67,49.86,49.38,13.98M,0.71%
2021/12/31,49.46,49.55,49.89,49.44,14.83M,-0.26%
2021/12/30,49.59,48.98,49.74,48.98,15.83M,1.29%
2021/12/29,48.96,49.08,49.12,48.75,13.62M,-0.43%
2021/12/28,49.17,49.34,49.37,49.17,18.34M,-0.34%
2021/12/27,49.34,49.20,49.44,49.17,15.68M,0.33%
2021/12/23,49.18,49.01,49.30,48.87,18.93M,0.59%
2021/12/22,48.89,48.48,48.91,48.41,14.60M,0.56%
2021/12/21,48.62,48.22,48.64,48.16,19.45M,1.69%
2021/12/20,47.81,47.81,47.85,47.49,23.24M,-2.35%
2021/12/17,48.96,48.87,49.14,48.72,14.40M,-0.69%
2021/12/16,49.30,49.55,49.78,49.20,20.52M,0.26%
2021/12/15,49.17,49.09,49.21,48.52,20.91M,-0.36%
2021/12/14,49.35,49.14,49.45,49.13,16.85M,-0.22%
2021/12/13,49.46,49.85,49.90,49.36,17.06M,-1.53%
2021/12/10,50.23,50.17,50.26,50.01,13.19M,0.18%
2021/12/09,50.14,50.26,50.40,50.06,17.68M,-0.50%
2021/12/08,50.39,50.17,50.48,50.06,11.55M,0.60%
2021/12/07,50.09,49.92,50.13,49.90,14.66M,1.46%
