Date,SP500,Open,High,Low,Vol.,Change %
2022/02/23,4225.50,4324.93,4341.51,4221.51,-,-1.84%
2022/02/22,4304.74,4332.74,4362.12,4267.11,-,-1.01%
2022/02/18,4348.87,4384.57,4394.60,4327.22,-,-0.72%
2022/02/17,4380.26,4456.06,4456.06,4373.81,-,-2.12%
2022/02/16,4475.01,4455.75,4489.55,4429.68,-,0.09%
2022/02/15,4471.07,4429.28,4472.77,4429.28,-,1.58%
2022/02/14,4401.67,4412.61,4426.22,4364.84,-,-0.38%
2022/02/11,4418.64,4506.27,4526.33,4401.41,-,-1.90%
2022/02/10,4504.06,4553.24,4588.92,4484.31,-,-1.81%
2022/02/09,4587.18,4547.00,4590.03,4547.00,-,1.45%
2022/02/08,4521.54,4480.02,4531.32,4465.40,-,0.84%
2022/02/07,4483.87,4505.75,4521.86,4471.47,-,-0.37%
2022/02/04,4500.54,4482.79,4539.66,4451.50,-,0.52%
2022/02/03,4477.44,4535.41,4542.88,4470.39,-,-2.44%
2022/02/02,4589.32,4566.39,4595.31,4544.32,-,0.94%
2022/02/01,4546.54,4519.57,4550.49,4483.53,-,0.69%
2022/01/31,4515.55,4431.79,4516.89,4414.02,-,1.89%
2022/01/28,4431.85,4336.19,4432.72,4292.46,-,2.43%
2022/01/27,4326.50,4380.58,4428.74,4309.50,-,-0.54%
2022/01/26,4349.93,4408.43,4453.23,4304.80,-,-0.15%
2022/01/25,4356.45,4366.64,4411.01,4287.11,-,-1.22%
2022/01/24,4410.13,4356.32,4417.35,4222.62,-,0.28%
2022/01/21,4397.93,4471.38,4494.52,4395.34,-,-1.89%
2022/01/20,4482.73,4547.35,4602.11,4477.95,-,-1.10%
2022/01/19,4532.76,4588.03,4611.55,4530.20,-,-0.97%
2022/01/18,4577.34,4632.24,4632.24,4568.70,-,-1.83%
2022/01/14,4662.85,4637.99,4665.13,4614.75,-,0.08%
2022/01/13,4659.02,4733.56,4744.13,4650.29,-,-1.42%
2022/01/12,4726.35,4728.59,4748.83,4706.71,-,0.28%
2022/01/11,4713.07,4669.14,4714.13,4638.27,-,0.92%
2022/01/10,4670.29,4655.34,4673.02,4582.24,-,-0.14%
2022/01/07,4677.02,4697.66,4707.95,4662.74,-,-0.41%
2022/01/06,4696.05,4693.39,4725.01,4671.26,-,-0.10%
2022/01/05,4700.58,4787.99,4797.70,4699.44,-,-1.94%
2022/01/04,4793.54,4804.51,4818.62,4774.27,-,-0.06%
2022/01/03,4796.56,4778.14,4796.64,4758.17,-,0.64%
2021/12/31,4766.18,4775.21,4786.83,4765.75,-,-0.26%
2021/12/30,4778.73,4794.23,4808.93,4775.33,-,-0.30%
2021/12/29,4793.06,4788.64,4804.06,4778.08,-,0.14%
2021/12/28,4786.36,4795.49,4807.02,4780.04,-,-0.10%
2021/12/27,4791.19,4733.99,4791.49,4733.99,-,1.38%
2021/12/23,4725.78,4703.96,4740.74,4703.96,-,0.62%
2021/12/22,4696.56,4650.36,4697.67,4645.53,-,1.02%
2021/12/21,4649.23,4594.96,4651.14,4583.16,-,1.78%
2021/12/20,4568.02,4587.90,4587.90,4531.10,-,-1.14%
2021/12/17,4620.64,4652.50,4666.70,4600.22,-,-1.03%
2021/12/16,4668.67,4719.13,4731.99,4651.89,-,-0.87%
2021/12/15,4709.84,4636.46,4712.60,4611.22,-,1.63%
2021/12/14,4634.09,4642.99,4660.47,4606.52,-,-0.75%
2021/12/13,4669.15,4710.30,4710.30,4667.60,-,-0.91%
2021/12/10,4712.02,4687.64,4713.57,4670.24,-,0.95%
2021/12/09,4667.45,4691.00,4695.26,4665.98,-,-0.72%
2021/12/08,4701.21,4690.86,4705.06,4674.52,-,0.31%
2021/12/07,4686.75,4631.97,4694.04,4631.97,-,2.07%
2021/12/06,4591.67,4548.37,4612.60,4540.51,-,1.17%
2021/12/03,4538.43,4589.49,4608.03,4495.12,-,-0.84%
2021/12/02,4577.10,4504.73,4595.46,4504.73,-,1.42%
2021/12/01,4513.04,4602.82,4652.94,4510.27,-,-1.18%
2021/11/30,4567.00,4640.25,4646.02,4560.00,-,-1.90%
2021/11/29,4655.27,4628.75,4672.95,4625.26,-,1.32%
2021/11/26,4594.62,4664.63,4664.63,4585.43,-,-2.27%
2021/11/24,4701.46,4675.78,4702.87,4659.89,-,0.23%
2021/11/23,4690.70,4678.48,4699.39,4652.66,-,0.17%
2021/11/22,4682.95,4712.00,4743.83,4682.17,-,-0.32%
2021/11/19,4697.96,4708.44,4717.75,4694.22,-,-0.18%
2021/11/18,4706.64,4700.72,4708.75,4672.78,-,0.38%
2021/11/17,4688.67,4701.50,4701.50,4684.41,-,-0.26%
2021/11/16,4700.90,4679.42,4714.95,4679.42,-,0.39%
2021/11/15,4682.81,4689.30,4697.42,4672.86,-,0.00%
2021/11/12,4682.85,4655.24,4688.47,4650.77,-,0.72%
2021/11/11,4649.27,4659.39,4664.55,4648.31,-,0.06%
2021/11/10,4646.71,4670.26,4684.85,4630.86,-,-0.82%
2021/11/09,4685.25,4707.25,4708.53,4670.87,-,-0.35%
2021/11/08,4701.70,4701.48,4714.92,4694.39,-,0.09%
2021/11/05,4697.53,4699.26,4718.50,4681.32,-,0.37%
2021/11/04,4680.06,4662.93,4683.00,4662.59,-,0.42%
2021/11/03,4660.57,4630.65,4663.46,4621.19,-,0.65%
2021/11/02,4630.65,4613.34,4635.15,4613.34,-,0.37%
2021/11/01,4613.67,4610.62,4620.34,4595.06,-,0.18%
2021/10/29,4605.38,4572.87,4608.08,4567.59,-,0.19%
2021/10/28,4596.42,4562.84,4597.55,4562.84,-,0.98%
2021/10/27,4551.68,4580.22,4584.57,4551.66,-,-0.51%
2021/10/26,4574.79,4578.69,4598.53,4569.17,-,0.18%
2021/10/25,4566.48,4553.69,4572.62,4537.36,-,0.47%
2021/10/22,4544.90,4546.12,4559.67,4524.00,-,-0.11%
2021/10/21,4549.78,4532.24,4551.44,4526.89,-,0.30%
2021/10/20,4536.19,4524.42,4540.87,4524.40,-,0.37%
2021/10/19,4519.63,4497.34,4520.40,4496.41,-,0.74%
2021/10/18,4486.48,4463.72,4488.75,4447.47,-,0.34%
2021/10/15,4471.37,4447.69,4475.82,4447.69,-,0.75%
2021/10/14,4438.23,4386.75,4439.73,4386.75,-,1.71%
2021/10/13,4363.80,4358.01,4372.87,4329.92,-,0.30%
2021/10/12,4350.64,4368.31,4374.89,4342.09,-,-0.24%
2021/10/11,4361.19,4385.44,4415.88,4360.59,-,-0.69%
2021/10/08,4391.36,4406.51,4412.02,4386.22,-,-0.19%
2021/10/07,4399.76,4383.73,4429.97,4383.73,-,0.83%
2021/10/06,4363.55,4319.57,4365.57,4290.49,-,0.41%
2021/10/05,4345.72,4309.87,4369.23,4309.87,-,1.05%
2021/10/04,4300.46,4348.84,4355.51,4278.94,-,-1.30%
2021/10/01,4357.05,4317.16,4375.19,4288.52,-,1.15%
2021/09/30,4307.54,4370.67,4382.55,4306.24,-,-1.19%
2021/09/29,4359.46,4362.41,4385.57,4355.08,-,0.16%
2021/09/28,4352.63,4419.54,4419.54,4346.33,-,-2.04%
2021/09/27,4443.11,4442.12,4457.30,4436.19,-,-0.28%
2021/09/24,4455.48,4438.04,4463.12,4430.27,-,0.15%
2021/09/23,4448.98,4406.75,4465.40,4406.75,-,1.21%
2021/09/22,4395.64,4367.43,4416.75,4367.43,-,0.95%
2021/09/21,4354.18,4374.45,4394.87,4347.96,-,-0.08%
