Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,38.734375,38.765625,38.250000,38.312500,21.970249,68000
2000-07-31,38.531250,39.031250,38.375000,39.031250,22.382412,26000
2000-08-01,38.937500,38.937500,38.437500,38.468750,22.059845,51200
2000-08-02,38.234375,38.531250,38.234375,38.460938,22.055368,8200
2000-08-03,37.304688,37.906250,37.304688,37.875000,21.719360,36600
2000-08-04,38.687500,38.687500,38.062500,38.125000,21.862726,39400
2000-08-07,38.500000,38.703125,38.406250,38.687500,22.185278,5200
2000-08-08,38.562500,38.562500,38.367188,38.398438,22.019529,7400
2000-08-09,38.773438,38.812500,38.289063,38.500000,22.077765,7800
2000-08-10,38.750000,38.750000,38.382813,38.593750,22.131535,14800
2000-08-11,38.742188,38.875000,38.500000,38.812500,22.256969,19400
2000-08-14,39.062500,39.281250,38.875000,39.281250,22.525766,50800
2000-08-15,39.304688,39.406250,39.250000,39.312500,22.543699,7600
2000-08-16,39.101563,39.585938,39.101563,39.585938,22.700493,67600
2000-08-17,39.437500,39.710938,39.437500,39.710938,22.772181,42600
2000-08-18,39.375000,39.468750,39.312500,39.468750,22.633289,46200
2000-08-21,39.390625,39.437500,39.250000,39.343750,22.561615,72200
2000-08-22,39.250000,39.281250,39.234375,39.265625,22.516823,21800
2000-08-23,39.000000,39.367188,38.921875,39.367188,22.575052,39600
2000-08-24,39.437500,39.500000,39.375000,39.390625,22.588493,9800
2000-08-25,39.312500,39.531250,39.312500,39.406250,22.597456,19800
2000-08-28,39.250000,39.750000,39.250000,39.750000,22.794584,25800
2000-08-29,39.250000,39.367188,39.187500,39.187500,22.472013,25400
2000-08-30,38.750000,39.250000,38.750000,39.250000,22.507851,4800
2000-08-31,39.343750,39.546875,39.343750,39.531250,22.669128,21400
2000-09-01,40.343750,40.375000,40.343750,40.375000,23.152985,4800
2000-09-05,40.000000,40.093750,39.929688,40.031250,22.955856,16800
2000-09-06,39.500000,39.562500,39.062500,39.250000,22.507851,17400
2000-09-07,39.218750,39.593750,39.218750,39.593750,22.704977,13400
2000-09-08,38.625000,38.750000,38.617188,38.750000,22.221127,27000
2000-09-11,38.000000,38.500000,37.812500,38.500000,22.077765,36200
2000-09-12,38.625000,38.812500,38.500000,38.812500,22.256969,14600
2000-09-13,37.125000,38.218750,37.093750,38.218750,21.916491,72200
2000-09-14,38.562500,38.843750,38.562500,38.843750,22.274893,30600
2000-09-15,38.812500,38.875000,38.250000,38.343750,21.988165,15000
2000-09-18,38.000000,38.187500,37.992188,38.125000,21.862726,56000
2000-09-19,38.343750,38.343750,38.125000,38.234375,21.925444,11400
2000-09-20,38.093750,38.125000,37.781250,38.000000,21.841318,18400
2000-09-21,37.843750,38.031250,37.843750,38.031250,21.859274,21200
2000-09-22,38.500000,38.812500,38.500000,38.812500,22.308315,19400
2000-09-25,38.750000,38.875000,38.562500,38.687500,22.236469,33800
2000-09-26,38.656250,38.921875,38.500000,38.718750,22.254423,11200
2000-09-27,39.187500,39.187500,38.250000,38.250000,21.985008,9000
2000-09-28,38.187500,38.437500,38.187500,38.375000,22.056850,24800
2000-09-29,38.125000,38.132813,37.882813,38.132813,21.917650,79800
2000-10-02,38.406250,38.468750,38.406250,38.460938,22.106249,6800
2000-10-03,38.617188,38.625000,38.617188,38.625000,22.200546,5800
2000-10-04,37.812500,38.031250,37.812500,38.031250,21.859274,10600
2000-10-05,38.187500,38.281250,38.000000,38.000000,21.841318,3400
2000-10-06,37.406250,37.406250,37.125000,37.250000,21.410236,132800
2000-10-09,36.687500,36.687500,36.625000,36.687500,21.086920,7600
2000-10-10,36.531250,36.750000,36.500000,36.593750,21.033043,31200
2000-10-11,36.125000,36.218750,36.000000,36.179688,20.795050,13600
2000-10-12,35.906250,36.000000,35.718750,35.812500,20.583994,22400
2000-10-13,35.562500,36.187500,35.562500,36.187500,20.799538,26800
2000-10-16,35.968750,35.968750,35.656250,35.968750,20.673803,14800
2000-10-17,35.937500,35.968750,35.726563,35.968750,20.673803,12600
2000-10-18,34.875000,35.218750,34.875000,35.218750,20.242723,14600
2000-10-19,35.968750,36.156250,35.843750,36.093750,20.745653,30200
2000-10-20,36.000000,36.375000,35.968750,36.304688,20.866890,7800
2000-10-23,36.125000,36.281250,36.125000,36.281250,20.853420,6000
2000-10-24,36.750000,36.750000,36.718750,36.750000,21.122852,15000
2000-10-25,36.250000,36.343750,36.093750,36.343750,20.889343,12400
2000-10-26,36.312500,36.375000,36.117188,36.218750,20.817495,26200
2000-10-27,36.187500,36.250000,36.062500,36.187500,20.799538,35400
2000-10-30,36.312500,36.312500,36.171875,36.179688,20.795050,21600
2000-10-31,36.375000,36.500000,36.312500,36.406250,20.925274,181200
2000-11-01,36.593750,37.000000,36.437500,37.000000,21.266544,58200
2000-11-02,37.031250,37.031250,36.656250,36.968750,21.248573,33400
2000-11-03,37.250000,37.250000,36.875000,37.125000,21.338383,37800
2000-11-06,37.500000,37.531250,37.242188,37.328125,21.455133,21400
2000-11-07,37.187500,37.375000,37.187500,37.375000,21.482080,15600
2000-11-08,37.250000,37.250000,37.062500,37.125000,21.338383,25000
2000-11-09,36.687500,37.250000,36.656250,37.250000,21.410236,67400
2000-11-10,36.687500,36.781250,36.507813,36.742188,21.118355,9600
2000-11-13,36.250000,36.500000,36.187500,36.500000,20.979155,28000
2000-11-14,37.031250,37.593750,37.031250,37.593750,21.607809,52000
2000-11-15,37.468750,37.718750,37.468750,37.593750,21.607809,60400
2000-11-16,37.281250,37.554688,37.250000,37.500000,21.553923,30600
2000-11-17,37.437500,37.468750,37.125000,37.312500,21.446157,30800
2000-11-20,36.968750,37.000000,36.375000,36.375000,20.907305,22200
2000-11-21,36.375000,36.554688,36.375000,36.554688,21.010590,23600
2000-11-22,36.250000,36.875000,35.875000,35.875000,20.619925,115400
2000-11-24,36.250000,36.343750,36.156250,36.250000,20.835461,28000
2000-11-27,36.781250,36.812500,36.664063,36.781250,21.140804,28400
2000-11-28,36.593750,36.593750,36.507813,36.593750,21.033043,14000
2000-11-29,36.468750,36.500000,36.312500,36.468750,20.961195,32600
2000-11-30,36.156250,36.218750,36.039063,36.218750,20.817495,19600
2000-12-01,36.531250,36.687500,36.531250,36.687500,21.086920,16200
2000-12-04,36.781250,36.875000,36.625000,36.875000,21.194691,28600
2000-12-05,37.375000,37.593750,37.367188,37.593750,21.607809,47400
2000-12-06,37.437500,37.593750,37.343750,37.414063,21.504526,72600
2000-12-07,37.312500,37.406250,37.312500,37.406250,21.500042,24200
2000-12-08,38.062500,38.093750,37.875000,37.875000,21.769461,98200
2000-12-11,37.875000,38.125000,37.781250,38.125000,21.913160,27800
2000-12-12,37.968750,38.156250,37.968750,38.156250,21.931128,118200
2000-12-13,37.875000,37.906250,37.593750,37.687500,21.664244,27800
2000-12-14,37.562500,37.593750,37.187500,37.218750,21.394798,169200
2000-12-15,37.000000,37.031250,36.812500,36.968750,21.251081,29000
2000-12-18,37.125000,37.281250,37.031250,37.250000,21.412760,229200
2000-12-19,36.968750,37.500000,36.968750,37.250000,21.412760,230600
2000-12-20,36.750000,36.781250,36.500000,36.656250,21.071453,27600
2000-12-21,36.687500,36.781250,36.531250,36.750000,21.125341,58000
2000-12-22,37.062500,37.125000,37.000000,37.062500,21.304974,60400
2000-12-26,37.125000,37.156250,37.125000,37.156250,21.358868,19600
2000-12-27,37.468750,37.781250,37.468750,37.609375,21.619347,108000
2000-12-28,37.937500,38.000000,37.875000,38.000000,21.843893,116200
2000-12-29,38.250000,38.406250,38.187500,38.343750,22.041492,69400
2001-01-02,38.375000,38.406250,38.125000,38.187500,21.951670,30200
2001-01-03,37.750000,40.250000,37.625000,40.250000,23.137274,207400
2001-01-04,38.562500,38.562500,38.281250,38.437500,22.095377,136000
2001-01-05,38.625000,38.812500,38.437500,38.812500,22.310946,250400
2001-01-08,38.375000,38.406250,38.093750,38.312500,22.023521,41400
2001-01-09,37.875000,37.875000,37.718750,37.812500,21.736103,24400
2001-01-10,37.500000,37.500000,37.218750,37.218750,21.394798,47000
2001-01-11,37.562500,38.187500,37.500000,38.187500,21.951670,102800
2001-01-12,38.187500,39.000000,38.093750,38.273438,22.001064,115400
2001-01-16,37.937500,37.937500,37.437500,37.593750,21.610357,88400
2001-01-17,38.062500,38.187500,37.812500,38.125000,21.915747,65200
2001-01-18,38.125000,38.406250,37.937500,38.406250,22.077415,171600
2001-01-19,38.312500,38.312500,37.937500,38.125000,21.915747,36200
2001-01-22,37.500000,37.906250,37.187500,37.468750,21.538504,121600
2001-01-23,37.312500,37.781250,37.312500,37.625000,21.628326,78000
2001-01-24,37.500000,37.523438,37.281250,37.500000,21.556465,63200
2001-01-25,37.500000,37.718750,37.031250,37.718750,21.682215,113600
2001-01-26,37.062500,37.437500,36.875000,37.437500,21.520536,239400
2001-01-29,37.220001,37.474998,37.080002,37.450001,21.527723,187600
2001-01-30,37.439999,37.785000,37.220001,37.785000,21.720293,125600
2001-01-31,37.525002,38.500000,37.525002,38.250000,21.987604,36200
2001-02-01,38.125000,38.240002,37.950001,38.240002,21.981844,39800
2001-02-02,38.075001,38.125000,37.900002,37.919998,21.797899,31600
2001-02-05,37.799999,37.830002,37.560001,37.830002,21.746166,24200
2001-02-06,37.750000,37.785000,37.500000,37.650002,21.642696,60600
2001-02-07,37.375000,37.400002,37.279999,37.349998,21.470247,19600
2001-02-08,36.950001,37.435001,36.700001,36.840000,21.177074,74600
2001-02-09,36.625000,36.660000,36.299999,36.570000,21.021875,28800
2001-02-12,36.549999,37.095001,36.549999,37.095001,21.323660,65200
2001-02-13,37.000000,37.005001,36.125000,36.125000,20.766060,58800
2001-02-14,36.375000,36.375000,35.775002,36.075001,20.737329,130600
2001-02-15,35.720001,36.000000,35.720001,35.994999,20.691338,33600
2001-02-16,35.000000,35.490002,35.000000,35.400002,20.349306,95800
2001-02-20,35.180000,35.180000,34.750000,34.750000,19.975660,54400
2001-02-21,34.750000,34.849998,34.549999,34.674999,19.932547,25800
2001-02-22,34.490002,34.599998,34.174999,34.599998,19.889439,94800
2001-02-23,33.625000,34.299999,33.625000,34.299999,19.716976,44400
2001-02-26,34.224998,34.500000,34.125000,34.500000,19.831955,20200
2001-02-27,34.450001,34.494999,34.224998,34.450001,19.803211,98200
2001-02-28,34.500000,34.625000,34.075001,34.310001,19.722734,99600
2001-03-01,34.080002,34.625000,34.080002,34.430000,19.791716,64400
2001-03-02,34.355000,34.744999,34.349998,34.555000,19.863567,59800
2001-03-05,34.625000,34.869999,34.625000,34.865002,20.041773,48400
2001-03-06,35.195000,35.415001,35.195000,35.415001,20.357929,42000
2001-03-07,35.389999,35.430000,35.029999,35.400002,20.349306,38800
2001-03-08,35.500000,35.575001,35.255001,35.450001,20.378050,80800
2001-03-09,35.299999,35.299999,34.755001,34.945000,20.087753,79200
2001-03-12,34.075001,34.125000,33.799999,33.965000,19.549028,57600
2001-03-13,33.299999,33.525002,33.299999,33.525002,19.295780,12800
2001-03-14,32.375000,32.695000,31.900000,32.549999,18.734598,100400
2001-03-15,33.250000,33.250000,32.500000,32.500000,18.705826,62800
2001-03-16,32.400002,32.400002,31.575001,31.594999,18.184946,31000
2001-03-19,31.590000,31.674999,31.309999,31.650000,18.216599,34800
2001-03-20,31.825001,32.250000,31.650000,31.889999,18.354731,39800
2001-03-21,31.500000,31.575001,31.049999,31.235001,17.977737,26000
2001-03-22,30.125000,30.475000,29.510000,30.475000,17.540310,23400
2001-03-23,30.475000,31.000000,30.350000,31.000000,17.842480,31400
2001-03-26,31.875000,32.195000,31.865000,32.189999,18.527399,58600
2001-03-27,32.615002,32.924999,32.224998,32.884998,18.927414,499400
2001-03-28,32.369999,32.369999,31.809999,31.995001,18.415169,26600
2001-03-29,31.575001,32.125000,31.549999,31.795000,18.300058,49200
2001-03-30,32.000000,32.250000,32.000000,32.240002,18.556177,90600
2001-04-02,32.250000,32.250000,31.625000,31.690001,18.239624,27400
2001-04-03,31.049999,31.250000,30.900000,30.969999,17.825214,88200
2001-04-04,31.125000,31.500000,30.910000,31.475000,18.115875,260800
