Date,AGG_exp_return,EEM_exp_return,IAU_exp_return,IEF_exp_return,IEV_exp_return,ITOT_exp_return,IYR_exp_return,SHY_exp_return,AGG_uncertainty,EEM_uncertainty,IAU_uncertainty,IEF_uncertainty,IEV_uncertainty,ITOT_uncertainty,IYR_uncertainty,SHY_uncertainty,AGG_mae,EEM_mae,IAU_mae,IEF_mae,IEV_mae,ITOT_mae,IYR_mae,SHY_mae
2006-02-09,0.028766667,0.06881493,0.09697186,0.040282767,0.026439164,0.027868276,0.036185868,0.017719155,0.0045730625,0.0043569054,0.0065618576,0.0046052,0.005094471,0.005998875,0.0025746508,0.0020918036,0.0174782,0.04707348,0.012446607,0.032192346,0.10007902,0.0047219065,0.072246745,0.0029883
2006-02-10,0.028946778,0.0686557,0.096810535,0.04002267,0.026189249,0.02739645,0.03605951,0.01772934,0.0049920576,0.0042635417,0.0065104933,0.004568157,0.00496854,0.0057472424,0.0025449444,0.0019897965,0.016407615,0.04540483,0.015065911,0.030652078,0.09718145,0.0046155155,0.07319864,0.0032668666
2006-02-13,0.028925356,0.068651736,0.096538655,0.040198084,0.026165986,0.027300293,0.03580082,0.017639834,0.0046896567,0.0042541353,0.0066101947,0.0041806414,0.004628785,0.005515159,0.0024074332,0.0020420481,0.016039755,0.039011445,0.0245654,0.029210059,0.098611586,0.0056840414,0.07324036,0.003262166
2006-02-14,0.029261094,0.0681983,0.09658871,0.0400615,0.025572076,0.026503291,0.035774965,0.017826542,0.0045002657,0.0039989343,0.0066805836,0.004147677,0.0044900086,0.0052851588,0.0023859728,0.00199608,0.014784912,0.044570222,0.031337723,0.027674986,0.09780846,0.0056339637,0.0727734,0.0033742844
2006-02-15,0.028916702,0.0674769,0.09648096,0.039587718,0.024618072,0.025550276,0.035233006,0.017923854,0.0041662236,0.0038524484,0.0063129608,0.0038176817,0.0040206425,0.004765298,0.002255555,0.0018490815,0.014170874,0.046531055,0.03775776,0.026999366,0.09740552,0.0058381693,0.072912015,0.0034155021
2006-02-16,0.028915588,0.06750959,0.09646149,0.039777827,0.024618296,0.025501827,0.035110354,0.017942103,0.0042544934,0.0038116472,0.006270303,0.003870412,0.0039439998,0.0046249614,0.0021165116,0.0018850893,0.013638028,0.056925055,0.037720636,0.026695682,0.09439559,0.008873278,0.068498366,0.0032494902
2006-02-17,0.028672121,0.06729606,0.0965006,0.03977834,0.024445128,0.025642589,0.035103768,0.017976673,0.0039841253,0.003777267,0.0062641404,0.0039675534,0.0039679357,0.0050701266,0.0021890702,0.0018793104,0.014010598,0.06449553,0.03545591,0.026936624,0.0916627,0.010590772,0.06487338,0.0031099806
2006-02-21,0.028926529,0.06659188,0.096558765,0.039265435,0.02326894,0.024162157,0.034666397,0.018108193,0.0037671376,0.003461341,0.0060025784,0.0036566847,0.0033860155,0.0042480915,0.0020359678,0.0017465964,0.013516398,0.06805543,0.03335295,0.026588358,0.0893408,0.010985142,0.06184871,0.0031308848
2006-02-22,0.028909951,0.066502884,0.09637838,0.03929517,0.023227496,0.024297077,0.034679405,0.017994052,0.0039527,0.0033754434,0.0057732584,0.0037104404,0.0033837906,0.004170458,0.002048838,0.0017017439,0.01391967,0.069863096,0.029069683,0.026942136,0.088024095,0.011643826,0.05936248,0.0030885616
2006-02-23,0.028732004,0.06680354,0.096745685,0.039404385,0.023597596,0.024633022,0.034789078,0.018053515,0.0038559325,0.0034855788,0.00611556,0.0037224065,0.0035736898,0.0043278993,0.0020843209,0.0018128449,0.014061594,0.07079371,0.027539967,0.0267494,0.088248365,0.011398349,0.057813264,0.0032284937
2006-02-24,0.028846052,0.066649556,0.09659725,0.03926321,0.023354515,0.024380643,0.034782223,0.017873779,0.0039670365,0.0034911195,0.0059463405,0.0037025285,0.0034828403,0.0042683664,0.0021615785,0.0018226987,0.014090754,0.07119321,0.024831314,0.02623006,0.08893574,0.0112530915,0.058560852,0.0034024143
2006-02-27,0.0287677,0.06744652,0.096613586,0.03984049,0.024571551,0.025876945,0.035305075,0.017884864,0.004178426,0.0037504598,0.0062765195,0.0040571257,0.0040622354,0.0048280573,0.0021376717,0.0018893873,0.013643898,0.0732011,0.025701074,0.02543734,0.08914147,0.011869487,0.05902071,0.0037304594
2006-02-28,0.02897765,0.06899337,0.096311405,0.04033349,0.026912395,0.0279451,0.036190987,0.017548691,0.0048002033,0.0044255317,0.006268952,0.0042514578,0.005074258,0.005671613,0.0024641883,0.0019936792,0.013554603,0.07027205,0.024313193,0.025167463,0.09044521,0.0109319,0.05924617,0.004015303
2006-03-01,0.028764721,0.067672156,0.096667744,0.039621893,0.024933336,0.025936699,0.035320047,0.017837336,0.0043082926,0.0037455582,0.00625536,0.0038539788,0.0041860146,0.004917623,0.0022482418,0.0019079722,0.013608233,0.07036017,0.025666153,0.025017617,0.09052183,0.010382301,0.06002876,0.004141703
2006-03-02,0.028928226,0.06732191,0.09633954,0.039473534,0.024327435,0.025142396,0.035237316,0.017853038,0.004224725,0.0036969176,0.0062795156,0.0041910023,0.004140018,0.004760013,0.0022855825,0.0018464121,0.013344669,0.07390672,0.02395539,0.024474476,0.08867779,0.0108350115,0.060347445,0.004201236
2006-03-03,0.02897187,0.066628836,0.09633065,0.039164014,0.023521073,0.024493277,0.034834415,0.017920727,0.004014471,0.0035162205,0.0057007275,0.0037946196,0.0037130904,0.004607257,0.0021781512,0.0017312284,0.012924997,0.0762624,0.022271698,0.023598017,0.08540655,0.011461139,0.06036938,0.00436345
2006-03-06,0.029013058,0.066266984,0.0966998,0.03903488,0.022884972,0.023709524,0.034456406,0.018094417,0.0038351829,0.0034238922,0.005787848,0.0036809288,0.003434122,0.0041061407,0.0019761762,0.0016725545,0.0118906405,0.07562286,0.020278446,0.02234613,0.082816675,0.01078617,0.05944417,0.0045126933
