Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,81.07,81.30,81.32,81.07,7.94M,-0.50%
2022/02/22,81.48,81.39,81.48,81.30,7.06M,-0.06%
2022/02/18,81.53,81.50,81.55,81.41,4.74M,0.17%
2022/02/17,81.39,81.30,81.49,81.25,6.82M,0.22%
2022/02/16,81.21,81.24,81.25,80.96,7.14M,0.14%
2022/02/15,81.10,81.17,81.28,81.08,6.73M,-0.21%
2022/02/14,81.27,81.38,81.46,81.18,6.30M,-0.56%
2022/02/11,81.73,81.45,81.79,81.15,11.10M,0.65%
2022/02/10,81.20,81.63,81.69,81.20,8.87M,-0.92%
2022/02/09,81.95,82.03,82.14,81.94,5.86M,0.07%
2022/02/08,81.89,81.98,82.00,81.89,6.73M,-0.33%
2022/02/07,82.16,82.09,82.22,82.01,6.25M,0.09%
2022/02/04,82.09,82.20,82.22,82.01,7.75M,-0.62%
2022/02/03,82.60,82.61,82.68,82.50,6.15M,-0.42%
2022/02/02,82.95,82.94,83.14,82.91,7.10M,0.14%
2022/02/01,82.83,82.89,82.91,82.68,5.01M,-0.20%
2022/01/31,83.00,82.89,83.08,82.86,8.03M,-0.07%
2022/01/28,83.06,82.78,83.08,82.77,5.99M,0.12%
2022/01/27,82.96,82.90,83.09,82.89,6.30M,0.33%
2022/01/26,82.69,83.22,83.26,82.69,7.38M,-0.55%
2022/01/25,83.15,83.30,83.40,83.14,5.87M,-0.13%
2022/01/24,83.26,83.45,83.50,83.25,10.33M,-0.16%
2022/01/21,83.39,83.35,83.48,83.28,5.20M,0.37%
2022/01/20,83.08,83.11,83.14,83.03,4.95M,0.11%
2022/01/19,82.99,82.97,83.12,82.94,8.64M,0.24%
2022/01/18,82.79,83.03,83.08,82.79,7.45M,-0.62%
2022/01/14,83.31,83.59,83.60,83.30,6.84M,-0.55%
2022/01/13,83.77,83.64,83.79,83.57,5.75M,0.17%
2022/01/12,83.63,83.73,83.79,83.62,6.67M,-0.04%
2022/01/11,83.66,83.47,83.68,83.41,6.75M,0.20%
2022/01/10,83.49,83.38,83.52,83.31,5.91M,-0.08%
2022/01/07,83.56,83.71,83.72,83.44,6.35M,-0.27%
2022/01/06,83.79,83.75,83.82,83.68,6.00M,-0.11%
2022/01/05,83.88,84.21,84.21,83.86,7.07M,-0.34%
2022/01/04,84.17,84.10,84.18,84.00,7.38M,-0.01%
2022/01/03,84.18,84.44,84.44,84.17,7.23M,-0.67%
2021/12/31,84.75,84.78,84.91,84.73,7.16M,-0.02%
2021/12/30,84.77,84.69,84.79,84.56,6.35M,0.22%
2021/12/29,84.58,84.67,84.72,84.52,7.76M,-0.33%
2021/12/28,84.86,85.01,85.02,84.81,5.67M,-0.01%
2021/12/27,84.87,84.83,84.93,84.81,5.31M,0.05%
2021/12/23,84.83,84.93,84.93,84.74,4.63M,-0.47%
2021/12/22,85.23,85.22,85.23,85.09,5.11M,0.11%
2021/12/21,85.14,85.19,85.19,84.95,6.12M,-0.11%
2021/12/20,85.23,85.38,85.43,85.20,7.04M,-0.16%
2021/12/17,85.37,85.34,85.48,85.32,4.88M,0.18%
2021/12/16,85.22,85.15,85.32,85.15,6.07M,0.13%
2021/12/15,85.11,85.04,85.21,84.97,6.03M,-0.13%
2021/12/14,85.22,85.25,85.29,85.08,5.17M,-0.16%
2021/12/13,85.36,85.25,85.43,85.23,4.96M,0.34%
2021/12/10,85.07,85.16,85.27,85.05,6.87M,0.04%
2021/12/09,85.04,85.08,85.18,84.97,8.10M,0.05%
2021/12/08,85.00,85.18,85.20,84.95,9.06M,-0.30%
2021/12/07,85.26,85.32,85.45,85.25,5.13M,-0.22%
2021/12/06,85.45,85.69,85.71,85.41,6.86M,-0.27%
2021/12/03,85.68,85.26,85.83,85.25,7.44M,0.39%
2021/12/02,85.35,85.42,85.45,85.19,8.83M,0.01%
2021/12/01,85.34,85.16,85.36,85.06,7.74M,-0.09%
2021/11/30,85.42,85.48,85.69,85.24,11.23M,0.19%
2021/11/29,85.26,84.99,85.29,84.97,6.13M,-0.01%
2021/11/26,85.27,85.09,85.32,85.04,4.40M,0.71%
2021/11/24,84.67,84.48,84.69,84.43,4.76M,0.24%
2021/11/23,84.47,84.69,84.71,84.47,5.78M,-0.40%
2021/11/22,84.81,85.01,85.06,84.75,7.50M,-0.49%
2021/11/19,85.23,85.25,85.33,85.19,5.50M,0.21%
2021/11/18,85.05,84.92,85.08,84.90,5.32M,0.12%
2021/11/17,84.95,84.73,84.97,84.71,6.22M,0.21%
2021/11/16,84.77,84.83,84.95,84.74,5.05M,-0.07%
2021/11/15,84.83,85.10,85.12,84.82,6.24M,-0.41%
2021/11/12,85.18,85.29,85.36,85.11,4.89M,0.01%
