Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,53.34,53.31,53.35,53.26,3.04M,-0.04%
2022/02/22,53.36,53.26,53.38,53.26,3.37M,-0.43%
2022/02/18,53.59,53.51,53.60,53.49,2.15M,0.32%
2022/02/17,53.42,53.31,53.45,53.31,2.34M,0.17%
2022/02/16,53.33,53.32,53.35,53.24,3.37M,0.21%
2022/02/15,53.22,53.19,53.23,53.16,4.49M,-0.02%
2022/02/14,53.23,53.27,53.36,53.14,6.28M,-0.50%
2022/02/11,53.50,53.35,53.52,53.19,4.19M,0.45%
2022/02/10,53.26,53.46,53.49,53.22,4.94M,-0.71%
2022/02/09,53.64,53.61,53.71,53.58,7.62M,0.26%
2022/02/08,53.50,53.47,53.54,53.46,9.91M,-0.30%
2022/02/07,53.66,53.61,53.69,53.53,8.83M,-0.26%
2022/02/04,53.80,53.84,53.85,53.72,2.55M,-0.37%
2022/02/03,54.00,54.07,54.07,53.97,2.64M,-0.64%
2022/02/02,54.35,54.32,54.42,54.32,2.39M,0.07%
2022/02/01,54.31,54.40,54.40,54.23,3.38M,-0.17%
2022/01/31,54.40,54.41,54.45,54.37,3.24M,-0.37%
2022/01/28,54.60,54.51,54.62,54.50,2.07M,0.07%
2022/01/27,54.56,54.55,54.62,54.55,2.25M,0.22%
2022/01/26,54.44,54.59,54.63,54.44,2.94M,-0.35%
2022/01/25,54.63,54.70,54.75,54.63,2.09M,-0.26%
2022/01/24,54.77,54.77,54.82,54.74,2.66M,0.02%
2022/01/21,54.76,54.78,54.82,54.74,2.82M,0.20%
2022/01/20,54.65,54.64,54.66,54.62,2.00M,0.28%
2022/01/19,54.50,54.49,54.53,54.47,2.37M,0.00%
2022/01/18,54.50,54.56,54.61,54.46,4.21M,-0.49%
2022/01/14,54.77,54.84,54.87,54.74,2.14M,-0.25%
2022/01/13,54.90,54.86,54.93,54.83,3.65M,0.16%
2022/01/12,54.82,54.87,54.89,54.79,7.90M,0.13%
2022/01/11,54.75,54.68,54.75,54.66,3.13M,0.04%
2022/01/10,54.73,54.67,54.75,54.65,2.75M,-0.09%
2022/01/07,54.78,54.82,54.82,54.70,2.50M,0.02%
2022/01/06,54.77,54.78,54.79,54.73,2.51M,-0.22%
2022/01/05,54.89,54.95,54.98,54.87,3.58M,-0.20%
2022/01/04,55.00,54.99,55.03,54.94,2.96M,0.02%
2022/01/03,54.99,55.03,55.08,54.98,3.86M,-0.31%
2021/12/31,55.16,55.16,55.21,55.15,2.12M,0.00%
2021/12/30,55.16,55.17,55.17,55.13,3.24M,0.09%
2021/12/29,55.11,55.17,55.17,55.06,11.86M,-0.40%
2021/12/28,55.33,55.34,55.35,55.31,3.20M,-0.04%
2021/12/27,55.35,55.30,55.35,55.29,4.31M,-0.02%
2021/12/23,55.36,55.35,55.37,55.28,2.64M,-3.05%
2021/12/22,57.10,57.08,57.10,57.03,2.47M,0.07%
2021/12/21,57.06,57.28,57.30,57.03,2.17M,-0.51%
2021/12/20,57.35,57.34,57.40,57.31,2.55M,-0.09%
2021/12/17,57.40,57.37,57.42,57.36,1.86M,0.28%
2021/12/16,57.24,57.22,57.36,57.21,2.12M,-0.16%
2021/12/15,57.33,57.31,57.38,57.26,2.45M,-0.15%
2021/12/14,57.42,57.40,57.42,57.35,2.27M,-0.04%
2021/12/13,57.44,57.38,57.46,57.36,1.95M,0.23%
2021/12/10,57.31,57.33,57.35,57.28,2.05M,0.00%
2021/12/09,57.31,57.29,57.34,57.20,4.03M,0.28%
2021/12/08,57.15,57.21,57.25,57.15,1.95M,-0.10%
2021/12/07,57.21,57.26,57.34,57.21,1.68M,-0.23%
2021/12/06,57.34,57.37,57.42,57.34,2.87M,-0.05%
2021/12/03,57.37,57.20,57.42,57.19,1.77M,0.16%
2021/12/02,57.28,57.37,57.39,57.25,2.13M,0.05%
2021/12/01,57.25,57.14,57.25,57.08,3.08M,0.03%
2021/11/30,57.23,57.22,57.31,57.13,2.77M,0.30%
2021/11/29,57.06,56.98,57.08,56.97,2.37M,-0.16%
2021/11/26,57.15,56.99,57.19,56.99,1.49M,0.60%
2021/11/24,56.81,56.68,56.81,56.66,1.67M,0.12%
2021/11/23,56.74,56.78,56.78,56.72,2.43M,-0.53%
2021/11/22,57.04,57.14,57.15,57.01,2.09M,-0.31%
2021/11/19,57.22,57.15,57.24,57.15,2.54M,0.39%
2021/11/18,57.00,56.97,57.04,56.96,2.11M,0.09%
2021/11/17,56.95,56.82,56.96,56.81,2.59M,0.16%
2021/11/16,56.86,56.88,56.92,56.85,1.95M,-0.14%
2021/11/15,56.94,57.01,57.03,56.91,2.10M,-0.12%
2021/11/12,57.01,56.98,57.03,56.95,1.69M,0.16%
2021/11/11,56.92,56.94,56.98,56.92,1.47M,-0.14%
2021/11/10,57.00,57.19,57.21,56.97,2.52M,-0.52%
2021/11/09,57.30,57.25,57.31,57.24,2.21M,0.46%
2021/11/08,57.04,57.14,57.16,57.03,2.00M,-0.31%
2021/11/05,57.22,57.11,57.23,57.10,2.18M,0.41%
2021/11/04,56.99,56.86,57.01,56.85,2.45M,0.38%
2021/11/03,56.77,56.80,56.82,56.67,2.28M,-0.11%
2021/11/02,56.83,56.74,56.84,56.74,2.85M,0.37%
2021/11/01,56.62,56.51,56.63,56.48,2.88M,-0.09%
2021/10/29,56.67,56.61,56.71,56.59,2.83M,-0.32%
2021/10/28,56.85,56.87,56.93,56.79,2.60M,-0.23%
2021/10/27,56.98,56.92,57.01,56.84,2.05M,0.46%
2021/10/26,56.72,56.68,56.73,56.66,3.62M,0.06%
2021/10/25,56.69,56.63,56.69,56.62,2.47M,0.04%
2021/10/22,56.66,56.54,56.66,56.54,1.86M,0.21%
2021/10/21,56.54,56.62,56.62,56.51,2.04M,-0.16%
2021/10/20,56.63,56.64,56.70,56.61,2.40M,-0.02%
2021/10/19,56.64,56.68,56.68,56.61,2.62M,-0.09%
2021/10/18,56.69,56.69,56.74,56.64,2.94M,-0.26%
2021/10/15,56.84,56.82,56.87,56.80,2.95M,-0.21%
2021/10/14,56.96,56.91,56.97,56.88,1.77M,0.32%
2021/10/13,56.78,56.76,56.80,56.73,2.08M,0.37%
2021/10/12,56.57,56.58,56.63,56.55,1.92M,-0.04%
2021/10/11,56.59,56.59,56.62,56.57,1.38M,-0.12%
2021/10/08,56.66,56.75,56.75,56.65,1.28M,-0.16%
2021/10/07,56.75,56.83,56.84,56.75,2.14M,-0.18%
