Date,Price,Open,High,Low,Vol.,Change %
2022/02/23,71.57,72.50,72.57,71.57,808.73K,-1.45%
2022/02/22,72.62,73.04,73.21,72.54,614.29K,-1.24%
2022/02/18,73.53,73.56,73.57,73.25,317.52K,0.14%
2022/02/17,73.43,73.49,73.68,73.33,284.61K,-0.39%
2022/02/16,73.72,73.79,73.82,73.48,270.91K,0.33%
2022/02/15,73.48,73.62,73.66,73.37,293.23K,0.20%
2022/02/14,73.33,73.43,73.52,73.10,376.15K,0.41%
2022/02/11,73.03,73.67,73.70,72.68,571.58K,-0.57%
2022/02/10,73.45,74.08,74.26,73.41,304.10K,-1.26%
2022/02/09,74.39,74.44,74.47,74.29,378.06K,0.45%
2022/02/08,74.06,74.11,74.13,73.99,549.69K,-0.35%
2022/02/07,74.32,74.26,74.40,74.22,469.92K,-0.15%
2022/02/04,74.43,74.51,74.58,74.26,439.29K,-0.61%
2022/02/03,74.89,74.94,74.99,74.81,498.63K,-0.60%
2022/02/02,75.34,75.19,75.42,75.19,215.55K,0.43%
2022/02/01,75.02,74.99,75.37,74.69,455.28K,-0.08%
2022/01/31,75.08,74.91,75.14,74.83,354.74K,0.03%
2022/01/28,75.06,74.92,75.22,74.70,319.26K,0.24%
2022/01/27,74.88,75.03,75.26,74.74,322.59K,0.59%
2022/01/26,74.44,75.16,75.38,74.44,326.29K,-0.60%
2022/01/25,74.89,74.68,74.91,74.65,416.46K,0.19%
2022/01/24,74.75,75.03,75.03,74.55,362.58K,-0.65%
2022/01/21,75.24,75.44,75.50,75.20,384.61K,0.33%
2022/01/20,74.99,75.00,75.22,74.94,264.14K,0.51%
2022/01/19,74.61,74.80,74.92,74.61,400.05K,0.48%
2022/01/18,74.25,74.52,74.52,74.08,626.78K,-0.89%
2022/01/14,74.92,75.12,75.17,74.86,531.52K,-0.78%
2022/01/13,75.51,75.55,75.57,75.40,258.75K,-0.21%
2022/01/12,75.67,75.77,75.93,75.62,429.37K,-0.08%
2022/01/11,75.73,75.60,75.78,75.41,383.33K,0.07%
2022/01/10,75.68,75.53,75.69,75.20,797.12K,-0.15%
2022/01/07,75.79,75.86,75.91,75.54,440.49K,-0.28%
2022/01/06,76.00,75.87,76.04,75.79,618.98K,-0.08%
2022/01/05,76.06,76.77,76.86,76.02,448.96K,-1.18%
2022/01/04,76.97,77.00,77.05,76.81,224.85K,0.10%
2022/01/03,76.89,77.42,77.44,76.89,309.99K,-0.99%
2021/12/31,77.66,77.69,77.91,77.65,165.01K,-0.23%
2021/12/30,77.84,77.51,77.89,77.48,336.67K,0.41%
2021/12/29,77.52,77.54,77.57,77.38,355.07K,-0.05%
2021/12/28,77.56,77.67,77.70,77.54,183.27K,0.10%
2021/12/27,77.48,77.17,77.48,77.17,343.78K,0.22%
2021/12/23,77.31,77.19,77.32,77.06,328.72K,-0.17%
2021/12/22,77.44,77.31,77.44,77.21,150.49K,0.16%
2021/12/21,77.32,76.94,77.34,76.94,220.39K,0.14%
2021/12/20,77.21,77.17,77.26,76.86,432.76K,-0.39%
2021/12/17,77.51,77.56,77.62,77.47,354.74K,-0.13%
2021/12/16,77.61,77.62,77.74,77.57,317.35K,0.12%
2021/12/15,77.52,77.56,77.60,77.16,300.58K,-0.37%
2021/12/14,77.81,77.77,78.01,77.70,293.82K,-0.18%
2021/12/13,77.95,77.71,78.03,77.71,280.61K,0.44%
2021/12/10,77.61,77.79,77.84,77.52,460.15K,0.01%
2021/12/09,77.60,77.53,77.77,77.53,181.74K,-0.01%
2021/12/08,77.61,77.65,77.76,77.50,296.41K,-0.18%
2021/12/07,77.75,77.48,77.85,77.44,516.89K,0.36%
2021/12/06,77.47,77.37,77.57,77.29,275.92K,0.26%
2021/12/03,77.27,77.14,77.50,76.90,335.67K,0.06%
2021/12/02,77.22,77.00,77.26,77.00,487.07K,0.59%
2021/12/01,76.77,76.55,76.92,76.52,181.66K,0.31%
2021/11/30,76.53,76.49,76.82,76.37,1.03M,0.07%
2021/11/29,76.48,76.06,76.54,76.06,335.94K,0.82%
2021/11/26,75.86,76.01,76.18,75.73,489.98K,-1.11%
2021/11/24,76.71,76.60,76.72,76.52,186.11K,0.20%
2021/11/23,76.56,76.78,76.88,76.52,299.71K,-0.70%
2021/11/22,77.10,77.61,77.62,77.04,240.83K,-0.87%
2021/11/19,77.78,77.88,77.90,77.74,99.24K,0.00%
2021/11/18,77.78,77.57,77.83,77.56,103.93K,0.24%
2021/11/17,77.59,77.42,77.60,77.40,134.61K,0.15%
2021/11/16,77.47,77.57,77.72,77.45,171.94K,-0.21%
2021/11/15,77.63,77.89,78.13,77.61,154.14K,-0.12%
2021/11/12,77.72,77.87,77.92,77.65,166.64K,0.15%
2021/11/11,77.60,77.79,77.89,77.60,203.56K,-0.15%
2021/11/10,77.72,78.50,78.50,77.70,183.01K,-1.28%
2021/11/09,78.73,78.76,78.81,78.68,103.35K,0.08%
2021/11/08,78.67,78.65,78.73,78.61,214.16K,0.03%
2021/11/05,78.65,78.33,78.73,78.32,291.03K,0.77%
2021/11/04,78.05,77.78,78.10,77.78,343.35K,0.70%
2021/11/03,77.51,77.73,77.73,77.37,341.17K,-0.24%
2021/11/02,77.70,77.58,77.78,77.58,166.95K,0.14%
2021/11/01,77.59,77.66,77.70,77.55,313.76K,-0.53%
2021/10/29,78.00,78.04,78.20,77.95,128.53K,-0.37%
2021/10/28,78.29,78.35,78.44,78.29,105.83K,-0.17%
2021/10/27,78.42,78.32,78.60,78.29,156.80K,0.46%
2021/10/26,78.06,77.92,78.07,77.92,100.98K,0.21%
2021/10/25,77.90,77.74,77.90,77.74,150.36K,0.14%
2021/10/22,77.79,77.59,77.80,77.56,252.32K,0.34%
2021/10/21,77.53,77.70,77.73,77.48,196.43K,-0.40%
2021/10/20,77.84,77.79,77.86,77.73,190.02K,0.01%
2021/10/19,77.83,77.83,77.91,77.78,479.09K,-0.04%
2021/10/18,77.86,77.86,77.92,77.66,170.10K,-0.23%
2021/10/15,78.04,78.05,78.07,77.93,116.86K,-0.12%
2021/10/14,78.13,78.04,78.18,78.01,122.04K,0.31%
2021/10/13,77.89,77.66,77.89,77.61,393.23K,0.78%
2021/10/12,77.29,77.27,77.32,77.12,709.67K,0.17%
2021/10/11,77.16,77.28,77.37,77.13,99.26K,-0.27%
2021/10/08,77.37,77.46,77.57,77.34,495.26K,-0.35%
2021/10/07,77.64,77.74,77.83,77.58,225.61K,0.12%
2021/10/06,77.55,77.45,77.56,77.45,296.58K,-0.23%
2021/10/05,77.73,77.65,77.73,77.53,266.19K,0.18%
2021/10/04,77.59,77.85,77.95,77.59,555.52K,-0.49%
2021/10/01,77.97,78.11,78.13,77.80,232.93K,-0.42%
2021/09/30,78.30,78.40,78.44,78.24,171.26K,0.08%
2021/09/29,78.24,78.47,78.48,78.16,115.35K,0.10%
2021/09/28,78.16,78.26,78.27,78.10,226.74K,-0.53%
2021/09/27,78.58,78.52,78.63,78.48,150.96K,-0.19%
2021/09/24,78.73,78.87,78.94,78.71,162.00K,-0.58%
2021/09/23,79.19,79.58,79.64,79.16,154.19K,-0.65%
2021/09/22,79.71,79.67,79.82,79.59,188.68K,0.10%
2021/09/21,79.63,79.79,79.82,79.57,128.89K,0.15%
2021/09/20,79.51,79.65,79.76,79.43,312.14K,-0.50%
2021/09/17,79.91,79.80,80.08,79.80,188.31K,-0.25%
2021/09/16,80.11,80.10,80.23,80.09,169.56K,-0.42%
2021/09/15,80.45,80.46,80.48,80.36,122.99K,0.06%
2021/09/14,80.40,80.42,80.51,80.36,146.26K,0.17%
2021/09/13,80.26,80.17,80.33,80.16,94.37K,0.31%
2021/09/10,80.01,80.35,80.38,80.00,783.07K,-0.44%
2021/09/09,80.36,80.18,80.45,80.13,340.63K,0.12%
2021/09/08,80.26,80.21,80.30,80.14,125.86K,0.15%
2021/09/07,80.14,80.28,80.28,80.13,175.48K,-0.24%
2021/09/03,80.33,80.32,80.38,80.23,151.44K,-0.20%
2021/09/02,80.49,80.37,80.49,80.32,100.11K,0.25%
2021/09/01,80.29,80.24,80.36,80.23,176.48K,-0.19%
2021/08/31,80.44,80.38,80.55,80.38,190.93K,-0.06%
2021/08/30,80.49,80.27,80.49,80.27,78.59K,0.32%
2021/08/27,80.23,79.82,80.27,79.80,98.77K,0.60%
2021/08/26,79.75,79.79,79.86,79.73,119.94K,-0.16%
2021/08/25,79.88,79.93,79.98,79.82,83.62K,-0.05%
2021/08/24,79.92,79.84,80.00,79.78,116.89K,0.10%
2021/08/23,79.84,79.70,79.84,79.67,170.23K,0.28%
2021/08/20,79.62,79.72,79.75,79.60,129.05K,-0.16%
2021/08/19,79.75,79.63,79.75,79.60,112.67K,0.15%
2021/08/18,79.63,79.66,79.75,79.57,197.68K,-0.06%
2021/08/17,79.68,79.54,79.68,79.54,463.28K,-0.09%
2021/08/16,79.75,79.76,79.81,79.70,141.63K,-0.04%
2021/08/13,79.78,79.49,79.78,79.49,139.16K,0.43%
2021/08/12,79.44,79.25,79.44,79.25,282.40K,0.23%
2021/08/11,79.26,79.29,79.35,79.15,163.71K,0.05%
2021/08/10,79.22,79.21,79.30,79.05,161.11K,0.00%
2021/08/09,79.22,79.31,79.46,79.17,151.81K,-0.30%
2021/08/06,79.46,79.61,79.66,79.45,153.21K,-0.50%
2021/08/05,79.86,79.94,79.95,79.81,185.46K,-0.09%
2021/08/04,79.93,80.08,80.12,79.75,147.97K,0.00%
2021/08/03,79.93,79.94,79.98,79.87,194.59K,0.08%
2021/08/02,79.87,79.86,80.05,79.84,143.68K,-0.25%
2021/07/30,80.07,79.84,80.10,79.82,81.01K,0.19%
2021/07/29,79.92,79.85,79.96,79.80,71.51K,0.09%
2021/07/28,79.85,79.56,79.85,79.49,185.10K,0.43%
2021/07/27,79.51,79.81,79.81,79.47,146.00K,-0.38%
2021/07/26,79.81,79.86,79.95,79.77,152.11K,-0.26%
2021/07/23,80.02,79.76,80.09,79.76,107.04K,0.08%
2021/07/22,79.96,79.83,79.96,79.79,67.08K,0.21%
2021/07/21,79.79,79.85,79.86,79.67,121.99K,-0.34%
2021/07/20,80.06,80.08,80.09,79.94,78.35K,0.28%
2021/07/19,79.84,80.00,80.00,79.78,84.31K,-0.01%
2021/07/16,79.85,79.87,79.97,79.83,95.39K,-0.16%
2021/07/15,79.98,79.85,79.98,79.81,130.78K,0.38%
2021/07/14,79.68,79.65,79.73,79.58,206.16K,0.37%
2021/07/13,79.39,79.59,79.75,79.31,180.98K,-0.23%
2021/07/12,79.57,79.68,79.68,79.52,297.75K,-0.08%
2021/07/09,79.63,79.71,79.71,79.55,132.07K,-0.11%
2021/07/08,79.72,79.54,79.78,79.54,154.34K,-0.11%
2021/07/07,79.81,79.90,79.90,79.72,172.48K,0.23%
2021/07/06,79.63,79.50,79.66,79.42,264.99K,0.04%
2021/07/02,79.60,79.50,79.68,79.34,714.61K,0.10%
2021/07/01,79.52,79.52,79.53,79.36,179.08K,-0.39%
2021/06/30,79.83,79.71,79.92,79.71,403.06K,0.18%
2021/06/29,79.69,79.60,79.70,79.55,661.34K,-0.20%
2021/06/28,79.85,79.76,79.89,79.70,472.87K,0.24%
2021/06/25,79.66,79.78,79.83,79.55,163.37K,-0.25%
2021/06/24,79.86,79.80,79.91,79.80,130.82K,0.09%
2021/06/23,79.79,79.84,79.86,79.69,132.09K,0.11%
2021/06/22,79.70,79.54,79.73,79.42,93.35K,-0.06%
2021/06/21,79.75,79.67,79.78,79.57,211.85K,-0.15%
2021/06/18,79.87,79.75,80.02,79.73,110.82K,0.49%
2021/06/17,79.48,79.48,79.75,79.38,178.04K,0.28%
2021/06/16,79.26,79.87,79.91,79.06,325.38K,-0.81%
2021/06/15,79.90,79.62,79.90,79.50,574.13K,0.18%
2021/06/14,79.76,80.09,80.09,79.73,212.81K,-0.57%
2021/06/11,80.22,80.26,80.30,80.14,166.18K,0.17%
2021/06/10,80.08,79.77,80.13,79.67,127.40K,0.14%
2021/06/09,79.97,80.05,80.08,79.96,154.29K,0.35%
2021/06/08,79.69,79.74,79.82,79.65,195.90K,0.39%
2021/06/07,79.38,79.48,79.49,79.37,208.80K,-0.19%
