,BNDX_ret030,BNDX_ret060,BNDX_ret130,BNDX_ret260,BND_ret030,BND_ret060,BND_ret130,BND_ret260,VGK_ret030,VGK_ret060,VGK_ret130,VGK_ret260,VNQI_ret030,VNQI_ret060,VNQI_ret130,VNQI_ret260,VNQ_ret030,VNQ_ret060,VNQ_ret130,VNQ_ret260,VTI_ret030,VTI_ret060,VTI_ret130,VTI_ret260,VWOB_ret030,VWOB_ret060,VWOB_ret130,VWOB_ret260,VWO_ret030,VWO_ret060,VWO_ret130,VWO_ret260,JPY,US10Y,Gold,Copper,Oil,SP500,US_Pay,US_GDP,US_CPI,10Y-2YSpread,2Y-3MSpread,Cop/Gold,SP500/DJIA,SP500/Rus2000
2007-01-18,0.0011237406138342454,0.003436390593943628,0.006990757449584661,0.01493573661912495,0.000652036261710176,0.0012428530018100403,0.0020750481562130663,0.006830069774556913,0.0031037540644398565,0.052411226546751566,0.1520964182651503,0.23444889050563855,1.3073950829500802e-05,0.05038522023099001,0.12850689020135908,0.18134483568476445,0.0032565130260520103,0.06515957446808507,0.1758661186142101,0.30860970429668333,0.01541120553075026,0.042822276458841735,0.12926477654973567,0.11851499286054268,-0.0008855036005489536,0.012939258210948879,0.03368611455423398,0.04213304712176891,-0.00026588673225202974,0.07459274078308087,0.172435297786093,0.18016321406151925,121.28,4.749,627.1,2.477,50.48,1426.37,137249.0,0.779357615,2.54065,-0.14000000000000057,-0.21300000000000008,0.003949928241109871,0.11349283453997594,1.809815628070143
2007-01-19,0.0010939028652008354,0.003822151290759024,0.007209574771611438,0.014777154301354178,0.0007898547209848061,0.0011868630077069842,0.0017708073028939175,0.006767960007500129,0.006454452105031594,0.05732778548312534,0.18784626038781171,0.2517788724685275,0.000980147914203977,0.06266983052023445,0.1664240582154073,0.19460719921437253,0.001609508480871824,0.07723035952063939,0.20386904761904767,0.3116083009079118,0.009485094850948617,0.047199822445809225,0.15081300813008136,0.12359104619780914,-0.000825269247446192,0.016528512859200095,0.044089673591151124,0.04554824465369989,-0.0013027618551330056,0.10143678160919545,0.24286640726329445,0.20194418312950768,121.27,4.783,635.5,2.502,51.99,1430.5,137249.0,0.779357615,2.54065,-0.14900000000000002,-0.17899999999999938,0.00393705743509048,0.11384318846877131,1.8383817495895176
2007-01-22,0.0013741141393497358,0.003600194628281983,0.007368601453337398,0.014703250667934764,0.0009300659802196076,0.00134831605376462,0.0017408357492665338,0.007020020480032585,-0.006114427136409972,0.05273708558211254,0.18937282229965158,0.23075536325941948,-0.007205500518835395,0.057978349073269264,0.1705312831204091,0.17819803081353625,0.0008733624454146938,0.061813368630046384,0.21031985515992746,0.28846771602955346,0.0018475094151924054,0.03860036832412539,0.15300948642459944,0.10823769847508258,-0.003326852145589143,0.01486688658177715,0.045240445663216056,0.040900203664153256,-0.013652756311179792,0.09807857757384575,0.25130718954248366,0.1814254859611233,121.58,4.761,633.3,2.519,51.13,1422.95,137249.0,0.779357615,2.54065,-0.15399999999999991,-0.19500000000000028,0.003977577767250908,0.11404438189459781,1.8127674787493828
2007-01-23,0.001580354324347999,0.0038389406843954976,0.007256241390981133,0.01441728445450896,0.0009072790555126886,0.0013750778829451082,0.001700560010134744,0.00706312761226946,0.006740914419695265,0.06116774791473589,0.21335217237725201,0.24524197933659608,0.007888140894698692,0.06766553689385835,0.19133863606787216,0.18576969517750141,0.011292346298619638,0.07237892496008502,0.21605310802655397,0.28364389233954435,0.00526128688233185,0.039021164021163735,0.15826984517080356,0.10729109562220995,0.0010992621479546383,0.017577984086376786,0.050568573078249024,0.04266808912228637,0.013003901170351106,0.11317519291226064,0.2893081761006291,0.1914958702967271,121.66,4.81,645.2,2.567,55.04,1427.99,137249.0,0.779357615,2.54065,-0.14400000000000013,-0.16000000000000014,0.003978611283323,0.11393113022387465,1.83643044588585
2007-01-24,0.002012183808968393,0.003990568924190807,0.006841667438655552,0.01433176459965635,0.0006373148968223941,0.0012562845732841943,0.001588666791990434,0.0069405410389415945,0.00800698791672727,0.06049931076734549,0.22548672566371675,0.2635036496350365,0.01505473577079619,0.06818219762893207,0.1931500022515522,0.19983815916954017,0.030804191389976143,0.08088429970876354,0.21358501783590977,0.2925439290802596,0.01871161262676746,0.04475206914231289,0.16459830176355306,0.11550793774927648,0.0037253728434329947,0.017979308833093732,0.05112177867416756,0.04640177610125473,0.02610966057441244,0.1123690914237192,0.28473357306309244,0.21296296296296302,121.11,4.814,647.6,2.588,55.37,1440.13,137249.0,0.779357615,2.54065,-0.12300000000000022,-0.1819999999999995,0.003996294008647313,0.11409889421214299,1.8308520964759196
2007-01-25,0.0023669886508581595,0.004371448008788192,0.007402352303932602,0.01494303262118013,0.0008901797284726065,0.0015605318457705408,0.002066635603959366,0.007194386898012217,-0.005399883245767567,0.036186711266535054,0.1693548387096775,0.23236889692585905,0.0019134305616113068,0.04765418095690488,0.14355997736735482,0.17638479609854762,0.03372341764187747,0.07681216411063052,0.20242974238875888,0.2984036668247194,0.005561100812776276,0.027613843351548262,0.13285140562248987,0.09989861966778446,-0.0002599048467657461,0.011974412408053192,0.037744094030684794,0.040308361494270306,-0.003400470834423075,0.07384441939120645,0.18839675608234563,0.16763714373276128,121.16,4.879,647.8,2.639,54.23,1423.9,137249.0,0.779357615,2.54065,-0.10000000000000053,-0.14400000000000013,0.004073788206236492,0.1138886755992373,1.7935056812897983
2007-01-26,0.002629611403934806,0.004585384910912316,0.007675968975006331,0.014905634146725744,0.0009500250192282511,0.001443031340917722,0.0018959377519494058,0.007114348713165075,-0.010726192201768292,0.04421664626682986,0.17794269934414908,0.2458926615553121,0.0027985355890860486,0.06007733171789287,0.15923376389968436,0.18655930072607685,0.03477715003138737,0.08762206386909477,0.21635182998819347,0.3063877001109525,0.002774615822424442,0.034875183553597644,0.14379615353404196,0.10549019607843135,-5.42625898833915e-05,0.01564452554838458,0.04214490699119122,0.043021445752108756,0.003664921465968529,0.09919724770642202,0.22335673261008315,0.18187422934648612,121.56,4.877,644.5,2.622,55.42,1422.18,137249.0,0.779357615,2.54065,-0.0940000000000003,-0.15000000000000036,0.004068269976726144,0.11389266614452448,1.8134731345006732
2007-01-29,0.00287306254845765,0.0044180821936310455,0.008196958758348805,0.015366987769007912,0.0009195277554963077,0.0014500485607555902,0.001745298819581187,0.0071415083004882085,-0.01127982646420822,0.0482980680772771,0.180421270718232,0.24309090909090925,0.004806954340484504,0.06068400124747986,0.16837881787296594,0.18503536118633068,0.04288056501450366,0.08502821152079787,0.2406601650412601,0.32707430588990527,0.004560353427390584,0.03471559633027521,0.1532106339468302,0.10451269194609836,0.000652103323230957,0.0157576159291557,0.04492954247180059,0.04279502590068174,0.006619009796134501,0.09789200115506791,0.23924380704041726,0.1705665024630545,121.75,4.894,643.1,2.529,54.01,1420.62,137249.0,0.779357615,2.54065,-0.09699999999999953,-0.11900000000000066,0.003932514383455139,0.11373348982209276,1.8042597622735166
2007-01-30,0.003159581330793193,0.004255430029747265,0.007984004309403714,0.015415559676504431,0.0008472503183865054,0.001294659379901919,0.001997629218885022,0.006988410877392326,-0.0102114195311378,0.051650366748166254,0.16802443991853355,0.2615948670944088,0.009487015397326548,0.059262450437381764,0.14812768573927926,0.20447535526333427,0.053498985801216925,0.08855121823421519,0.22656826568265664,0.3390267483080889,0.00860719874804361,0.04196061140505569,0.13768755516328324,0.11478889849830964,0.0022012738717733793,0.015603800098228815,0.039198010069543265,0.047932117435260935,0.015051491946131534,0.08987808335696035,0.19378881987577623,0.20652856246076579,121.62,4.875,644.2,2.55,56.97,1428.82,137249.0,0.779357615,2.54065,-0.09999999999999964,-0.15000000000000036,0.003958398013039428,0.11409283967257858,1.800428481867797
2007-01-31,0.00329142356096912,0.00436427836631581,0.007906858996949095,0.015343052745025343,0.0008581005075576353,0.0009826757205415593,0.0019273409617608372,0.006790372883581641,-0.00958512160228897,0.05969692331241405,0.17538200339558574,0.27565874332043494,0.007977801856289712,0.06677220532488581,0.15296549182870978,0.215081803559678,0.06105903217633646,0.10574257425742584,0.22995594713656398,0.3498791297340855,0.008259795270031622,0.05808267891539498,0.14210315873650536,0.1263406940063092,0.0018342305026035621,0.01825099684462228,0.040561575076861534,0.050905869431224104,0.00623538581449723,0.09903518728717353,0.2001859312054537,0.2217665615141955,120.67,4.814,652.0,2.583,58.14,1438.24,137477.0,0.779357615,2.075643,-0.11099999999999977,-0.17799999999999994,0.003961656441717792,0.11394987517519445,1.8044991376353776
2007-02-01,0.0033015550279549277,0.004938040800132937,0.00802727532225167,0.014764927295949803,0.0007773224274811863,0.0008744423005577762,0.0018716506045530767,0.006772209875787194,0.004179276552817468,0.06284319707138497,0.17524034407151312,0.28395061728395077,0.017010134024290524,0.07380025565403026,0.15969403804663163,0.20869276749573995,0.07326100829610738,0.13161081953976583,0.23046532045654078,0.3383733885086744,0.013762439127672943,0.06478873239436611,0.14554589680197783,0.12667660208643805,0.004590861266489554,0.02058111174208843,0.042388250487122914,0.04920312413032191,0.01373412801243834,0.1057094403617862,0.22173641474078676,0.20036821110770164,120.73,4.843,657.4,2.518,57.3,1445.94,137477.0,0.779357615,2.075643,-0.12300000000000022,-0.13100000000000023,0.0038302403407362334,0.11408998806976348,1.8028727013572554
2007-02-02,0.003564855793098065,0.00520916929107984,0.008125872933919531,0.014861880191527899,0.0006624953157867708,0.0008525938693846324,0.001775437967761917,0.006385243917844674,0.0010071942446041593,0.06376146788990811,0.1700302724520686,0.29264214046822734,0.01858041277290523,0.07331556827945818,0.15481170460221194,0.22300419195861831,0.08194194708451064,0.14627840522520064,0.23664122137404564,0.35390549662487936,0.019204875628941798,0.0662811387900355,0.14991604701367245,0.1482634730538921,0.005297727510672701,0.020625590012911976,0.041339875971038165,0.05340081608121228,0.01875977071391355,0.0964666292765004,0.210151655834107,0.2322722975102427,121.13,4.827,646.2,2.41,59.02,1448.39,137477.0,0.779357615,2.075643,-0.11000000000000032,-0.1739999999999995,0.003729495512225317,0.11446565334939215,1.7926727872862511
2007-02-05,0.004053036952609723,0.005299029562126911,0.00810426639711248,0.015035104723546633,0.0006647090822584634,0.0010239864832306544,0.0018737917327842357,0.006374699315515597,-0.007584430452203805,0.04631864815932407,0.1442006269592475,0.2687522868642518,0.01833997743143545,0.05917150711533736,0.13435276147592234,0.2077989883329756,0.09119170984455938,0.1357691789133071,0.21892634929822008,0.3478399999999999,0.018965395230344573,0.05579997067018638,0.14123801220575416,0.14623467600700524,0.005358866180938282,0.016456835469733866,0.035766473091727535,0.04965202503046484,0.022756997122678646,0.0753575357535754,0.1816258688425505,0.21315544523735674,120.33,4.81,650.9,2.405,58.74,1446.99,137477.0,0.779357615,2.075643,-0.11500000000000021,-0.1900000000000004,0.0036948840067598707,0.11428050173198945,1.7881734781783467
2007-02-06,0.0038988269779161033,0.006158582178138916,0.00858734289309826,0.015075770925908394,0.0006876836044731327,0.001148588400669004,0.0019280626160216308,0.006465109142267167,0.0066177528413176034,0.051074057383205806,0.15748552522746073,0.2803293687099726,0.025751770197656842,0.07065961744169047,0.15086471274040036,0.21209009812280466,0.09575695423663633,0.16521264994547447,0.2409988385598143,0.35747181197395594,0.019469026548672552,0.052246985750822095,0.14140773620798996,0.1428571428571428,0.00742145418446416,0.019724610896709516,0.04016663055540359,0.05064635863711309,0.027561102444097818,0.08990623276337573,0.2074549343110299,0.2093023255813955,120.09,4.769,653.6,2.485,58.88,1448.0,137477.0,0.779357615,2.075643,-0.1349999999999998,-0.23099999999999987,0.003802019583843329,0.11431900845629074,1.793855275611666
2007-02-07,0.004503486351252528,0.006680663817897781,0.009187818304757345,0.015649060656286684,0.00056458619572064,0.0011487473331348586,0.0017928609251327554,0.006355349087886708,0.011966551326412889,0.04996260284218401,0.16730417428904043,0.27641389343516987,0.03083181995864881,0.07248339547844118,0.1649444923695249,0.21353172008503862,0.12795657231485058,0.18557261241679113,0.2736427320490369,0.38501825107125853,0.02679459843638954,0.05298833819241988,0.15106366026611417,0.14914094813872092,0.009336215208935794,0.020432432129951383,0.044266157055422584,0.05141862989270218,0.023346303501945664,0.08707632956737399,0.2266791044776122,0.20642201834862384,120.67,4.749,652.3,2.441,57.71,1450.02,137477.0,0.779357615,2.075643,-0.125,-0.266,0.003742143185650774,0.11447342555816867,1.7875882048731218
2007-02-08,0.00454123952700658,0.006280817907505121,0.009314243015553947,0.015612939825466965,0.00043371468603714547,0.0010458668438426688,0.0019257826709668802,0.006536137406801146,0.038883941822499324,0.05215692168946329,0.15264284538119544,0.2623985572587917,0.04984476305656593,0.0712838703699834,0.154264117774483,0.20193388435993587,0.15144262731019809,0.1747151383613672,0.26626699809913723,0.3698196773173046,0.03656609195402294,0.05745694393550749,0.14243863816310376,0.1380235034308699,0.014916564911672037,0.02013223524827179,0.04129974936956393,0.04817692546116481,0.04246900553943567,0.08720770288858337,0.2111553784860558,0.19036144578313263,121.03,4.74,658.0,2.438,59.71,1448.31,137477.0,0.779357615,2.075643,-0.1429999999999998,-0.2610000000000001,0.00370516717325228,0.11460297539965959,1.7769584949677957
2007-02-09,0.004079905824491803,0.006110247028044302,0.008791769198884802,0.014989621634165395,0.0006858858286002967,0.001212205667896038,0.0021052251538076217,0.006828672321578688,0.03278445334520108,0.03771053808317193,0.1478977741137677,0.25531914893617036,0.03569973455181841,0.05680369438721722,0.14290233145830067,0.18156178640793263,0.12928759894459096,0.15644420426911654,0.23986095017381204,0.3389644924135773,0.022784086850939245,0.04708979233694066,0.13130036340654128,0.12050078247261342,0.010432360694611953,0.015806908672045372,0.037869922358260366,0.04238900749363261,0.014629049111807735,0.06556927297668036,0.19141104294478528,0.1477541371158393,121.67,4.786,667.5,2.506,59.89,1438.06,137477.0,0.779357615,2.075643,-0.12600000000000033,-0.23000000000000043,0.0037543071161048685,0.11430565391949497,1.7623716699520007
2007-02-12,0.003655920335126739,0.005567169825025031,0.007967545768371664,0.014668923854297633,0.0008502514884833889,0.0013152163424101637,0.00211359172780079,0.006894757815379515,0.01629955947136552,0.03638814016172498,0.13663984233864324,0.245232097876934,0.019597453445522772,0.05106476541427596,0.12983493239113897,0.1728241534726802,0.09969907104540088,0.13274932614555257,0.19848852131755312,0.3157482780212899,0.012201177555508202,0.04100094842051516,0.12780588049320274,0.11537559602907832,0.005433724404439788,0.013850249337244547,0.03408213079361766,0.03991071586847239,-0.00387596899224818,0.05964815832875181,0.18287818349186846,0.14120781527531068,121.92,4.81,662.6,2.467,57.81,1433.37,137477.0,0.779357615,2.075643,-0.12700000000000067,-0.20399999999999974,0.0037232115907032902,0.11418954714380743,1.7739288192389093
2007-02-13,0.004010911893125968,0.005652505748881209,0.008526339856350429,0.014963763235061656,0.0006654871961324638,0.0013192963844246286,0.0019173943863239895,0.006621336102202946,0.021783625730994016,0.04220101401729792,0.15215957797560176,0.24959771142499565,0.029324894802386314,0.05498784644901744,0.14771154633846462,0.18088788358123198,0.11795407098121102,0.14027149321266985,0.23387096774193572,0.3377049180327871,0.022234851175676695,0.041696829303605076,0.1411578112609042,0.1304006284367636,0.008613439785312815,0.014991600115884518,0.03933153579715598,0.04253861562124506,0.012393493415956636,0.06173842404549146,0.20683287165281627,0.15391406709829325,121.11,4.816,663.9,2.577,59.06,1444.26,137477.0,0.779357615,2.075643,-0.13400000000000034,-0.19599999999999973,0.0038816086760054226,0.11412699478855932,1.7897098265064768
2007-02-14,0.0032336067063998275,0.005224971988569527,0.008231074505075764,0.01436148637752832,0.0004548402113218053,0.0012823722247909952,0.001717217791866732,0.006579535049768603,0.039906103286385,0.05617642676203238,0.17604114816658356,0.26729840872519217,0.03922041303629542,0.06529330846734616,0.162270374683116,0.18985146510524697,0.10480519480519468,0.1307988834241658,0.2435316474199678,0.321989121989122,0.033164538905926966,0.04471368815808474,0.15407903123008304,0.1335785272713046,0.011476788884331901,0.01773507858349488,0.04339594984653816,0.044670805254847235,0.03100775193798433,0.0827679782903663,0.22430193310831537,0.17043121149897322,120.74,4.742,667.4,2.57,58.0,1455.3,137477.0,0.779357615,2.075643,-0.13600000000000012,-0.26199999999999957,0.003850764159424633,0.1142140943315968,1.7909180937509652
2007-02-15,0.0034163292876139284,0.00530979315078417,0.00870211306999158,0.014713066931109964,0.0004013401692706253,0.0013367093652119078,0.001598442397942268,0.0064167142578495096,0.0351824817518247,0.0580423754103252,0.16781949934123852,0.2755891347364632,0.036090158540550865,0.06907811091587113,0.161421983508244,0.20469627311544092,0.11125518672199175,0.1315025085819912,0.2604794822768055,0.34115805946791866,0.035298320828867524,0.04267415083477233,0.16023382447149248,0.14401894986182384,0.010759424323346645,0.018695683908199312,0.043536591759930854,0.04875889057736682,0.024133504492939606,0.09138166894664845,0.22361963190184042,0.19969924812030082,119.18,4.71,667.3,2.658,57.99,1456.81,137477.0,0.779357615,2.075643,-0.13400000000000034,-0.29499999999999993,0.003983215944852391,0.11412525332921791,1.7889895710249937
2007-02-16,0.0033933401092038906,0.005353752809633683,0.008526319238992386,0.014731482535407459,0.0004359606204176192,0.0013144240160549714,0.0016654806970524128,0.006316021547442929,0.036126956267368726,0.05841924398625431,0.1709090909090909,0.2847297787450127,0.03945849271912061,0.07076449958760778,0.15892327112836102,0.21253413108177077,0.10696710696710698,0.13293571901921797,0.25631981187536734,0.3495421534575307,0.03394423447193917,0.04391964864281106,0.15658902361199756,0.1504403713401572,0.011603154251025982,0.01920010444908682,0.04274649546400844,0.0508946270065167,0.034787123572170175,0.09565695437053323,0.2137637028014614,0.21155015197568394,119.36,4.696,668.8,2.639,59.39,1455.54,137477.0,0.779357615,2.075643,-0.15200000000000014,-0.29800000000000004,0.003945873205741627,0.11400289953374056,1.7845591641764087
2007-02-20,0.0039823548986794854,0.004505117463966757,0.008808238135733504,0.0146429148773215,0.0002668328993744584,0.0012379734291145805,0.0015623055664066854,0.006299130581311374,0.05051851851851841,0.06073298429319385,0.17810267486293396,0.2876339204648628,0.060107943386205065,0.0688865319908698,0.1682005428038682,0.20752087834974442,0.13656155165589112,0.10351012042018959,0.27388346643005024,0.35482856244101924,0.045284646348475954,0.04641289486939626,0.163639273425622,0.15111216654793003,0.017787372406395496,0.018469504937177916,0.045420802219877876,0.04970334349285821,0.06942590120160208,0.10300192784356921,0.2277743715511955,0.1919642857142856,119.97,4.68,657.1,2.582,58.07,1459.68,137477.0,0.779357615,2.075643,-0.14200000000000035,-0.3389999999999995,0.003929386699132552,0.11415665100448594,1.7869183700400209
2007-02-21,0.0038496650275665623,0.004081352037676345,0.008588243092082504,0.014722075549567837,0.00032094910584357095,0.0012286730645323374,0.0015641777821902014,0.006089658856332614,0.04742084138546154,0.047109525932530705,0.16907250705160104,0.29047619047619033,0.05387153144059109,0.054279672918444266,0.1615512853527865,0.21626938914748517,0.13122529644268766,0.08245083207261739,0.25765343489087456,0.361128725428028,0.0418964405929958,0.04413981195722361,0.1619808306709265,0.1629096722621901,0.015948757042623773,0.014286842497415853,0.04358628580924995,0.05221484159162815,0.05599577390385635,0.08346883468834676,0.22450229709035208,0.21482831965967786,120.94,4.694,680.2,2.651,60.07,1457.63,137477.0,0.779357615,2.075643,-0.14900000000000002,-0.31700000000000017,0.0038973831226109964,0.11442793880868964,1.7682602476430263
2007-02-22,0.0034330587725848183,0.003866602668068042,0.008609547231235304,0.015021357327152929,0.00034178913773996733,0.0012811003026904633,0.001798220646443971,0.006252735219369976,0.054162936436884745,0.04419154596511987,0.1469155844155845,0.28198149156233,0.06380415460817646,0.05030478730842791,0.14584557647091345,0.2158915739836318,0.11111111111111116,0.0719216769172839,0.23678493845039839,0.3598726114649684,0.04153835135715833,0.04086744918408258,0.14692429022082032,0.15420634920634924,0.018416732410289738,0.013010878890694633,0.039043451688896,0.05190560395110633,0.08849797023004058,0.07915213308290836,0.2067206720672068,0.22063732928679802,121.53,4.734,679.4,2.762,60.95,1456.38,137477.0,0.779357615,2.075643,-0.13600000000000012,-0.29000000000000004,0.004065351780983221,0.11480196310584408,1.7596993719433844
2007-02-23,0.0023524265804490962,0.0030009021533030644,0.008137392558997814,0.014310341574063523,0.00044938976413244625,0.0012679279277976185,0.0020512977117610465,0.006254388430328994,0.06555655565556573,0.0505842331016122,0.1430640489217896,0.28236143708250583,0.06198312250598548,0.04566064696555472,0.13365018137729945,0.2094441602026822,0.07784200385356455,0.048743907011623344,0.212922810060711,0.32979397781299524,0.03587251679291126,0.04055703108176023,0.13214620431115298,0.15267175572519087,0.017370355431323814,0.011465429093306057,0.03528048046943266,0.050030671531821946,0.08629579375848029,0.07003475006682724,0.18152302243211338,0.214502427184466,121.05,4.672,683.1,2.837,61.14,1451.19,137477.0,0.779357615,2.075643,-0.13200000000000056,-0.3639999999999999,0.004153125457473284,0.11474143465733887,1.7509532106798247
