Date,VTI,BNDX,VNQ,VWOB,VGK,VWO,BND,VNQI
2006-01-03,62.575,,60.76,,54.46,31.45,,
2006-01-04,63.03,44.4543063570857,61.21,75.20306259360505,54.98,31.86,74.40659141870894,42.59428831447483
2006-01-05,62.99,44.470532767491775,61.68,75.21717282252719,54.81,31.89,74.41041951802065,42.618487478777936
2006-01-06,63.61,44.47200964875558,62.26,75.46515240537283,55.47,32.41,74.39951996243563,43.07050562705865
2006-01-09,63.845,44.49126705417032,62.79,75.52556033145376,55.17,32.69,74.39618630167382,43.16446894815395
2006-01-10,63.935,44.50339896432223,63.17,75.43692872262172,54.8,32.4,74.39538743776792,42.97211929183588
2006-01-11,64.115,44.49911619312203,63.27,75.55802127864101,55.3,32.63,74.39483807285325,43.2145831670128
2006-01-12,63.75,44.5087073772012,63.09,75.42727903913944,54.78,32.44,74.40511885434782,42.98242086641371
2006-01-13,63.82,44.489696902166095,62.31,75.4059293134859,55.0,32.48,74.40528075390316,42.964902178211545
2006-01-17,63.595,44.489583307731685,62.06,75.18433153096345,54.55,31.86,74.4112339451172,42.54400492442295
2006-01-18,63.4,44.496834984226446,62.05,75.10418424554021,54.27,31.7,74.417915343345,42.40214227927051
2006-01-19,63.745,44.52252718986444,62.83,75.36231006408929,54.27,32.59,74.4137544552482,42.8783378649094
2006-01-20,62.625,44.52302832093094,62.22,75.05149934327656,53.82,31.73,74.44261936799627,42.35347918735261
2006-01-23,62.81,44.519595976365906,62.5,75.29344718137214,54.66,32.23,74.44343301447873,42.8339291896642
2006-01-24,63.0,44.53501603917841,62.97,75.42447375160963,54.65,32.68,74.44214582735461,43.07806431722731
2006-01-25,62.86,44.533723136515036,63.01,75.46992826402892,54.99,32.7,74.44931203560726,43.19169354228843
2006-01-26,63.395,44.531285249236106,63.22,75.65709234218606,55.45,33.2,74.43959434262096,43.53835626771058
2006-01-27,63.9,44.549557052366445,63.93,75.85024810355729,55.46,33.84,74.43058309974555,43.882171658680065
2006-01-30,63.965,44.54685546428699,63.88,75.84553231002393,55.58,33.78,74.43145490809744,43.87864280682499
2006-01-31,63.65,44.55244290326953,64.05,75.93760946482581,55.93,33.98,74.44367400733287,44.09851590293735
2006-02-01,63.895,44.5589899025642,64.35,75.98061592116072,55.93,34.09,74.44018859463087,44.168368477692816
2006-02-02,63.325,44.5548463564941,63.9,75.71447076591636,55.59,33.25,74.45502296389971,43.6804020313297
2006-02-03,63.015,44.552692217217285,63.34,75.53262271695257,55.14,32.9,74.4633760306588,43.34924716643889
2006-02-06,63.165,44.56755263920591,63.58,75.69228981758941,55.07,33.6,74.46311446535125,43.66140781619318
2006-02-07,62.55,44.56691456317848,63.08,75.43498769334768,54.6,32.91,74.47915294036349,43.19815600818926
2006-02-08,63.0,44.548512769754886,62.8,75.4912550579264,55.11,32.95,74.47036868520344,43.300365411932894
2006-02-09,62.88,44.55355849038443,63.1,75.54512368858309,55.39,32.96,74.4771808765149,43.42249272007073
2006-02-10,63.01,44.55686278382631,63.16,75.54969256699776,55.33,33.01,74.4761579446033,43.427354986790284
2006-02-13,62.725,44.558346775088424,63.25,75.36479664873193,55.17,32.27,74.48480933686275,43.07752134371773
2006-02-14,63.32,44.562191633435525,63.6,75.581724539921,55.51,32.92,74.47358597565231,43.47385632341558
